"ip","finger","hash","name","race","background","date","class","justClass","subclass","level","feats","HP","AC","Str","Dex","Con","Int","Wis","Cha","alignment","skills","weapons","spells","castingStat","choices","country","countryCode","processedAlignment","good","lawful","processedRace","processedSpells","processedWeapons","levelGroup","alias"
"97ef21c",NA,"2acda1af761207d8f1a2966aadc02eba","29b5afb","Rock Gnome","Sage",2018-12-23 13:01:36,"Wizard 2","Wizard","School of Divination",2,NA,20,13,8,16,18,20,17,9,"LN","Arcana|History|Investigation|Insight","Quarterstaff",NA,"Int",NA,"United States","US","LN",NA,NA,"Gnome",NA,"Quarterstaff","1-3","silly_napier"
"90c6ef6",NA,"46938a769a79f1e07d0b3f82b3f87dde","1bd2fe3","Dragonborn","Cloistered Scholar",2018-12-23 12:21:54,"Monk 1","Monk",NA,1,NA,14,13,10,15,15,12,12,10,NA,"Athletics|History|Religion","Quarterstaff|Quarterstaff - 2h|Dart|Unarmed strike",NA,"Int",NA,"United States","US",NA,NA,NA,"Dragonborn",NA,"Quarterstaff|Quarterstaff|Dart|Unarmed Strike","1-3","admiring_bohr"
"669274d",NA,"9f9b443cccadd7ba66c6bb4bc7516d30","f8a9dd6","Variant","Acolyte",2018-12-23 09:31:21,"Warlock 3","Warlock","The Celestial",3,NA,24,12,8,15,14,10,12,17,NA,"Sleight of Hand|Arcana|Religion|Insight|Perception|Deception|Persuasion","Sickle|Quarterstaff|Dagger","Light*0|Sacred Flame*0|Eldritch Blast*0|Chill touch*0","Cha","eldritch invocations/Beguiling Influence*Agonizing Blast|pact boon/Pact of the Tome","United States","US",NA,NA,NA,"Half-Elf","Light*0|Sacred Flame*0|Eldritch Blast*0|Chill Touch*0","Sickle|Quarterstaff|Dagger","1-3","jovial_mccarthy"
NA,NA,"e9ed3ed11c166a94e47a04e5758dda43","024b2e8","Fallen Aasimar","Soldier",2018-12-23 08:18:52,"Fighter 1","Fighter",NA,1,NA,14,13,16,16,15,12,12,15,NA,"Athletics|Intimidation","Longsword|Longsword|Handaxe",NA,"Int","fighting style/Two-Weapon Fighting","Canada","CA",NA,NA,NA,"Aasimar",NA,"Longsword|Longsword|Handaxe","1-3","jovial_hugle"
NA,"578b726","4b36d013e81f2264b31820305ebd687b","0e935e5","Lizardfolk","Barbarian Tribe Member",2018-12-23 07:34:25,"Ranger 1","Ranger",NA,1,NA,14,14,14,18,18,8,15,14,"Neutral","Athletics|Stealth|Nature|Animal Handling|Insight|Perception|Survival","Shortsword|Longbow",NA,"Wis",NA,"Canada","CA","NN",NA,NA,"Lizardfolk",NA,"Shortsword|Longbow","1-3","festive_wu"
"34fe3dc",NA,"05e0410c1b34666581096818913c5424","0cb7d2b","Human","Criminal",2018-12-22 21:36:35,"Rogue 1","Rogue",NA,1,NA,11,14,10,16,16,14,11,10,NA,"Athletics|Acrobatics|Stealth|Investigation|Deception|Intimidation","Rapier|Shortbow|Dagger",NA,"Int","expertise/Athletics*Acrobatics","Canada","CA",NA,NA,NA,"Human",NA,"Rapier|Shortbow|Dagger","1-3","upbeat_lewin"
"a76f3ac","90c7888","7c72362ae69b16850b39852750062560","ade37ad","Forest Gnome","Courtier",2018-12-22 21:28:59,"Bard 5","Bard","College of Glamour",5,"Martial Adept",45,13,8,15,13,14,10,18,NA,"Arcana|Religion|Insight|Perception|Persuasion","Rapier|Dagger",NA,"Cha","expertise/Persuasion*Perception|combat superiority maneuvers/Riposte*Parry","United States","US",NA,NA,NA,"Gnome",NA,"Rapier|Dagger","4-7","reverent_colden"
"669274d","3a2ae0f","c64728adb32d4eaa9d369c2a70088a01","f8a9dd6","Variant","Acolyte",2018-12-22 21:19:47,"Warlock 3","Warlock","The Celestial",3,NA,24,12,8,15,14,10,12,17,NA,"Sleight of Hand|Arcana|Religion|Insight|Perception|Deception|Persuasion","Sickle|Quarterstaff|Dagger","Light*0|Sacred Flame*0","Cha","eldritch invocations/Beguiling Influence*Agonizing Blast|pact boon/Pact of the Tome","United States","US",NA,NA,NA,"Half-Elf","Light*0|Sacred Flame*0","Sickle|Quarterstaff|Dagger","1-3","jovial_mccarthy"
"a5cb49c","076a0ea","f035f534826721713684ff95e305974e","330ba1f","Half-Orc","Outlander",2018-12-22 18:27:46,"Barbarian 5","Barbarian","Path of the Zealot",5,NA,56,14,16,14,15,8,12,11,"Chaotic Good","Athletics|Stealth|Insight|Survival|Intimidation","Greataxe|Javelin +1|Light hammer|Unarmed strike",NA,"Int",NA,"United States","US","CG",NA,NA,"Half-Orc",NA,"Greataxe|Javelin|Light hammer|Unarmed Strike","4-7","brave_goldstine"
"0c7b859",NA,"1d28978849c9e9f6a7d43ccd019f67ba","bac0479","Half-Elf","Urban Bounty Hunter",2018-12-22 17:23:09,"Rogue 5","Rogue","Assassin",5,NA,41,14,13,17,14,11,11,13,NA,"Athletics|Acrobatics|Sleight of Hand|Stealth|Perception|Deception|Intimidation|Persuasion","Shortsword|Shortbow|Dagger|Longsword",NA,"Int","expertise/Thieves' Tools*Sleight of Hand","United States","US",NA,NA,NA,"Half-Elf",NA,"Shortsword|Shortbow|Dagger|Longsword","4-7","agitated_williams"
"2934862","241690f","02598034312ba6215fd62255e28e1f7a","5091687","Shadow Elf","Noble",2018-12-22 14:13:48,"Fighter 1","Fighter",NA,1,NA,13,16,10,16,16,10,12,12,"CG","Acrobatics|History|Animal Handling|Perception|Persuasion","Longbow|Rapier|Handaxe",NA,"Int","fighting style/Two-Weapon Fighting","United States","US","CG",NA,NA,"Elf",NA,"Longbow|Rapier|Handaxe","1-3","cocky_sanderson"
NA,NA,"c15975c0e96cdfc875e7d73cacb5c330","b95994b","Rock Gnome","Cloistered Scholar",2018-12-22 13:44:37,"Wizard 7","Wizard","School of Illusion",7,NA,47,13,10,12,14,20,10,9,NA,"Arcana|History|Investigation|Religion","Dagger|Crossbow, light","Minor Illusion*1|Light*1|Mage Hand*1|Mending*1|Message*1|Detect Magic*2|Identify*2|Magic Missile*2|Silent Image*2|Comprehend Languages*2|Longstrider*2|Major Image*3|Dispel Magic*3|Fear*3|Sending*3|Haste*3|Phantasmal Killer*4|Greater Invisibility*4","Int",NA,"Canada","CA",NA,NA,NA,"Gnome","*|*|*|*|*|*|*|*|*|*|*|Major Image*3|Dispel Magic*3|Fear*3|Sending*3|Haste*3|Phantasmal Killer*4|Greater Invisibility*4","Dagger|Crossbow, Light","4-7","compassionate_dewdney"
"572e47e","e28d9d0","9affbfdb53e9e7ace83321c1f9c74d5f","422dd8f","Tiefling","Noble",2018-12-22 13:01:54,"Rogue 1","Rogue",NA,1,NA,8,14,11,16,10,13,14,17,NA,"Stealth|History|Insight|Perception|Deception|Persuasion","Rapier|Shortbow|Dagger",NA,"Int","expertise/Thieves' Tools*Stealth","United States","US",NA,NA,NA,"Tiefling",NA,"Rapier|Shortbow|Dagger","1-3","elated_almeida"
"03c076e",NA,"e3285d13f986a182e93c51e4598346ad","42c74d2","Lightfoot Halfling","Faction Agent",2018-12-22 12:53:06,"Fighter 1","Fighter",NA,1,NA,11,19,15,16,12,11,11,15,NA,"Athletics|History|Insight|Intimidation","Flail|Handaxe",NA,"Int","fighting style/Defense","United States","US",NA,NA,NA,"Halfling",NA,"Flail|Handaxe","1-3","jovial_wescoff"
"bc84475","4a43fd6","b0b40deff1cbe14d0009386a9f5fc36c","6cb25b9","Triton","Acolyte",2018-12-22 11:40:28,"Paladin 1","Paladin",NA,1,NA,11,18,14,14,12,8,12,12,NA,"Athletics|Religion|Insight|Intimidation","Flail|Javelin",NA,"Cha",NA,"United States","US",NA,NA,NA,"Triton",NA,"Flail|Javelin","1-3","sharp_kilby"
"bc84475",NA,"b35424b42a78a3c121ce39d6a28129f7","25e5acb","Hobgoblin","Barbarian Tribe Member",2018-12-22 11:38:24,"Barbarian 1","Barbarian",NA,1,NA,16,15,13,12,18,12,7,10,NA,"Athletics|Perception|Survival|Intimidation","Greataxe|Handaxe|Javelin",NA,"Int",NA,"United States","US",NA,NA,NA,"Hobgoblin",NA,"Greataxe|Handaxe|Javelin","1-3","charming_jennings"
"fd77044",NA,"991bea6947def314d96571419cd33f76","df6a8bc","Human","Acolyte",2018-12-22 09:08:21,"Paladin 8","Paladin","Oath of Devotion",8,"Shield Master",60,20,18,10,12,11,12,16,"LN","Athletics|Religion|Insight|Medicine","Longsword|Javelin","Protection from Evil and Good*1|Sanctuary*1|Lesser Restoration*2|Zone of Truth*2","Cha","fighting style/Protection","United States","US","LN",NA,NA,"Human","Protection from Evil and Good*1|Sanctuary*1|Lesser Restoration*2|Zone of Truth*2","Longsword|Javelin","8-11","heuristic_khorana"
NA,NA,"ed4cb2877766835af634d61dfb6efede","1b6a90b","Human","Far Traveler",2018-12-21 23:28:27,"Ranger 7","Ranger","Beast Master",7,"Dungeon Delver",57,15,12,18,10,13,13,11,NA,"Acrobatics|Stealth|Nature|Insight|Survival","Elven Longbow|Rapier|Crossbow, light",NA,"Wis","fighting style/Archery","Canada","CA",NA,NA,NA,"Human",NA,"Longbow|Rapier|Crossbow, Light","4-7","hardcore_wilson"
NA,NA,"e160ead3abf8e8baa9e495a16ee6faa4","1b6a90b","Human","Far Traveler",2018-12-21 23:24:57,"Ranger 7","Ranger","Beast Master",7,"Dungeon Delver",57,15,12,18,10,13,13,11,NA,"Acrobatics|Stealth|Nature|Insight|Survival","Longbow|Rapier|Crossbow, light",NA,"Wis","fighting style/Archery","Canada","CA",NA,NA,NA,"Human",NA,"Longbow|Rapier|Crossbow, Light","4-7","hardcore_wilson"
"669274d","3dac699","e395a82e88cecf98535dae215b880338","f8a9dd6","Variant","Cultist",2018-12-21 23:19:54,"Warlock 3","Warlock","The Great Old One",3,NA,24,12,8,15,14,10,12,17,NA,"Sleight of Hand|Arcana|History|Religion|Perception|Deception","Sickle|Quarterstaff|Dagger",NA,"Cha","eldritch invocations/Eyes of the Rune Keeper*Agonizing Blast|pact boon/Pact of the Tome","United States","US",NA,NA,NA,"Half-Elf",NA,"Sickle|Quarterstaff|Dagger","1-3","jovial_mccarthy"
"3c6df8a","aed4ec9","445dc5c8b80a2a219a45a8ab4a082691","491c004","Tiefling","Charlatan",2018-12-21 16:28:41,"Sorcerer 1","Sorcerer","Divine Soul",1,NA,2,11,13,13,10,12,11,17,NA,"Sleight of Hand|Arcana|Deception|Intimidation","Mace|Dagger|Crossbow, light","Mage Hand*0|Gust*0|Firebolt*0|Frostbite*0|Cure Wounds*1|False Life*1","Cha",NA,"United States","US",NA,NA,NA,"Tiefling","Mage Hand*0|Gust*0|Fire Bolt*0|Frostbite*0|Cure Wounds*1|False Life*1","Mace|Dagger|Crossbow, Light","1-3","upbeat_neumann"
"3c6df8a","aed4ec9","f067dd7bda277ff885f77de3e6eb7f29","b8358ce","Dragonborn","Folk Hero",2018-12-21 15:57:11,"Paladin 1","Paladin",NA,1,NA,10,16,15,13,10,11,11,16,NA,"Athletics|Animal Handling|Medicine|Survival","Trident|Longsword|Javelin",NA,"Cha",NA,"United States","US",NA,NA,NA,"Dragonborn",NA,"Trident|Longsword|Javelin","1-3","stoic_bhaskara"
"18feca7","14c21b6","4763a452f92ffd9a74231197b47a3e00","4a3d4b2","Variant","Custom",2018-12-21 01:13:04,"Cleric 9|Warlock 1","Cleric|Warlock","Tempest Domain|The Celestial",10,"Shield Master|War Caster",93,20,16,14,18,12,18,13,NA,"Athletics|Nature|Religion|Insight|Perception|Persuasion","Warhammer|Maul|Crossbow, heavy","Light*0|Sacred Flame*0|Shocking Grasp*0|Booming Blade*0|Eldritch Blast*0|Fog Cloud*1|Thunderwave*1|Witch Bolt*1|Gust of Wind*2|Shatter*2|Call Lightning*3|Sleet Storm*3|Control Water*4|Ice Storm*4|Destructive Wave*5|Insect Plague*5","Wis",NA,"United States","US",NA,NA,NA,"Half-Elf","Light*0|Sacred Flame*0|Shocking Grasp*0|Booming Blade*0|Eldritch Blast*0|Fog Cloud*1|Thunderwave*1|Witch Bolt*1|Gust of Wind*2|Shatter*2|Call Lightning*3|Sleet Storm*3|Control Water*4|Ice Storm*4|Destructive Wave*5|Insect Plague*5","Warhammer|Maul|Crossbow, Heavy","8-11","goofy_agnesi"
"0ad8f17",NA,"ab16628ee711f106f59c4acbd05a5f4e","2b8de28","Lineage - Zari","Acolyte",2018-12-20 22:51:54,"Paladin 5","Paladin","Oath of Vengeance",5,"Dual Wielder",53,20,18,12,15,14,14,17,"Lawful Good","Athletics|Religion|Insight|Intimidation","Lance|Javelin|Greatsword|Longsword|Longsword|Longbow","Thaumaturgy*0|  *0|Necklace Of Prayer Beads*0|Bead Of Bless - Bless*0|Bead Of Favor*0|Greater Restoration*0|Bead Of Smiting*0|Branding Smite*0|Bead Of Curing*0|Cure Wounds*0|Lesser Restoration*0|Bead Of Summons*0|Planar Ally*0|Bane*1|Hunter<U+0092>s Mark*1|Searing Smite*1|Hold Person*2|Misty Step*2|Branding Smite*2|  *2","Cha","fighting style/Defense","United States","US","LG",NA,NA,"Tiefling","Thaumaturgy*0|*|*|*|Ray of Frost*0|*|*|*|*|*|*|*|*|Bane*1|Hunter's Mark*1|Searing Smite*1|Hold Person*2|Misty Step*2|Branding Smite*2|*","Lance|Javelin|Greatsword|Longsword|Longsword|Longbow","4-7","confident_wilson"
"ff17fdf",NA,"90a7523249b4913453b1e8509c9b51a4","ea291a8","Wood Elf","Far Traveler",2018-12-20 18:16:08,"Fighter 4","Fighter","Arcane Archer",4,"Sharpshooter",36,15,10,18,13,15,12,10,NA,"Acrobatics|Nature|Insight|Perception|Survival","Longbow|Shortsword|Shortsword|Handaxe",NA,"Int","fighting style/Archery|arcane shot options/Grasping Arrow*Bursting Arrow","United States","US",NA,NA,NA,"Elf",NA,"Longbow|Shortsword|Shortsword|Handaxe","4-7","sweet_mccarthy"
"866629a","aeb9fbd","722347cb8f9cc24c7953baa7567f9090","66dbbde","Half-Elf","Bounty Hunter",2018-12-20 15:43:33,"Warlock 4","Warlock","The Hexblade",4,"Spell Sniper",39,18,14,18,16,11,12,20,"NG","Athletics|Stealth|Investigation|Perception|Intimidation|Persuasion","Dagger|Longsword|Crossbow, Light|Eldritch Blast","Mage Hand - R30*0|Prestigation*0|Minor Illusion - R30*0|Shape Water*0|Message*0|Mending*0|Eldritch Blast  - R240*0|Hex - R90*1|Speak With Animals - Ritual Only*1|Armor Of Agathy's 10 Hpts*1|Hexblade Curse - R30*1|Alarm - Ritual Only*1|Comprehend Languages - Ritual*1|Witch Bolt 2D12 - R60*1|Mirror Image*2","Cha","eldritch invocations/Mask of Many Faces*Agonizing Blast|pact boon/Pact of the Chain","United States","US","NG",NA,NA,"Half-Elf","Mage Hand*0|Prestidigitation*0|Minor Illusion*0|Shape Water*0|Message*0|Mending*0|Eldritch Blast*0|Hex*1|Speak with Animals*1|Armor of Agathys*1|*|*|Comprehend Languages*1|Witch Bolt*1|Mirror Image*2","Dagger|Longsword|Crossbow, Light|","4-7","kind_noyce"
"866629a",NA,"64c12455dcbcc0cb52eeb6dbf8c15af6","66dbbde","Half-Elf","Bounty Hunter",2018-12-20 15:34:02,"Warlock 4","Warlock","The Hexblade",4,"Spell Sniper",39,18,11,18,16,12,14,20,"NG","Acrobatics|Stealth|Investigation|Perception|Deception|Intimidation","Dagger|Longsword|Crossbow, Light|Eldritch Blast","Mage Hand - R30*0|Prestidigattion*0|Minor Illusion - R30*0|Guidance*0|Message*0|Mending*0|Eldritch Blast  - R240*0|Hex - R90*1|Charm Person - R30*1|Armor Of Agathy's 10 Hpts*1|Hexblade Curse - R30*1|Alarm - Ritual*1|Comprehend Languages - Ritual*1|Witch Bolt 2D12 - R60*1|Mirror Image*2","Cha","eldritch invocations/Mask of Many Faces*Agonizing Blast|pact boon/Pact of the Chain","United States","US","NG",NA,NA,"Half-Elf","Mage Hand*0|Prestidigitation*0|Minor Illusion*0|Guidance*0|Message*0|Mending*0|Eldritch Blast*0|Hex*1|Charm Person*1|Armor of Agathys*1|*|Alarm*1|Comprehend Languages*1|Witch Bolt*1|Mirror Image*2","Dagger|Longsword|Crossbow, Light|","4-7","kind_noyce"
"6a2188c","82268d2","9046ec35ac8a9f1f27de35332a1fde72","bfe294a","Human","Guild Member - Justice",2018-12-20 13:59:20,"Fighter 11|Wizard 4","Fighter|Wizard","Juggernaut|War Magic",15,"Medium Armor Master|Shield Master|Sentinel|Tavern Brawler|War Caster",194,23,17,19,18,14,14,13,NA,"Athletics|Perception|Survival","Longsword|Handaxe|Shield Strike","Acid Splash*0|Booming Blade*0|Chill touch*0|Lightning Lure*0|Absorb Elements*1|Feather Fall*1|Magic Missile*1|Tasha's Hideous Laughter*1|Thunderwave*1|Melf's Acid Arrow*2|Misty Step*2|Shatter*2","Int","fighting style/Defense","United States","US",NA,NA,NA,"Human","Acid Splash*0|Booming Blade*0|Chill Touch*0|Lightning Lure*0|Absorb Elements*1|Feather Fall*1|Magic Missile*1|Tasha's Hideous Laughter*1|Thunderwave*1|Melf's Acid Arrow*2|Misty Step*2|Shatter*2","Longsword|Handaxe|","12-15","frosty_newton"
"385884c",NA,"9465a1b51fb3588a49703c4f7243dc01","52d9509","Human","Outlander",2018-12-20 10:53:44,"Druid 2","Druid","Circle of Dreams",2,"Magic Initiate",17,15,8,14,14,12,16,10,"NG","Athletics|Nature|Medicine|Perception|Survival","Quarterstaff|Magic Stone","Druidcraft*0|Guidance*0|Light*0|Magic Stone*0|Inflict Wounds (1pd)*1|Detect Magic (R)*1|Detect Poison and Disease (R)*1|Cure Wounds*1|Healing Word*1|Faerie Fire*1","Wis",NA,"United States","US","NG",NA,NA,"Human","Druidcraft*0|Guidance*0|Light*0|Magic Stone*0|Inflict Wounds*1|Detect Magic*1|Detect Poison and Disease*1|Cure Wounds*1|Healing Word*1|Faerie Fire*1","Quarterstaff|","1-3","flamboyant_blackwell"
"0ad8f17","5be325a","069194acab8f53604fef236d2f754279","2b8de28","Lineage - Zari","Acolyte",2018-12-20 10:03:22,"Paladin 5","Paladin","Oath of Vengeance",5,"Dual Wielder",53,20,18,12,15,14,14,17,NA,"Athletics|Religion|Insight|Intimidation","Lance|Javelin|Greatsword|Longsword|Longsword|Longbow","Thaumaturgy*0|Bane*1|Hunter<U+0092>s Mark*1|Searing Smite*1|Hold Person*2|Misty Step*2|Branding Smite*2","Cha","fighting style/Defense","United States","US",NA,NA,NA,"Tiefling","Thaumaturgy*0|Bane*1|Hunter's Mark*1|Searing Smite*1|Hold Person*2|Misty Step*2|Branding Smite*2","Lance|Javelin|Greatsword|Longsword|Longsword|Longbow","4-7","confident_wilson"
"b15d7a1","705566d","81c0fa606921bc7be79b39f64316ba99","d7878c1","Human","Soldier",2018-12-20 06:34:12,"Barbarian 5","Barbarian","Path of the Berserker",5,NA,65,14,18,14,14,11,12,12,NA,"Athletics|Animal Handling|Perception|Intimidation","Greataxe|Handaxe|Javelin",NA,"Int",NA,"Brazil","BR",NA,NA,NA,"Human",NA,"Greataxe|Handaxe|Javelin","4-7","cocky_pascal"
"8362731",NA,"e846895f903f0af4afe27e43ef2dc09d","1012598","Protector Aasimar","Custom",2018-12-19 22:07:01,"Sorcerer 5","Sorcerer","Divine Soul",5,"Magic Initiate",32,12,9,14,14,10,12,16,"LN","Arcana|Investigation|Religion|Perception","Crossbow, light|Dagger","Light*0|Fire Bolt*0|Spare The Dying*0|Guidance*0|Toll The Dead*0|Mage Hand*0|Mending*0|Shocking Grasp*0|Guiding Bolt*1|Healing Word*1|Mage Armor*1|Find Familiar*1|Spiritual Weapon*2|Dragon's Breath*2|Lesser Restoration*2|Fireball*3","Cha","metamagic/Twinned Spell*Distant Spell","United States","US","LN",NA,NA,"Aasimar","Light*0|Fire Bolt*0|Spare the Dying*0|Guidance*0|Toll the Dead*0|Mage Hand*0|Mending*0|Shocking Grasp*0|Guiding Bolt*1|Healing Word*1|Mage Armor*1|Find Familiar*1|Spiritual Weapon*2|Dragon's Breath*2|Lesser Restoration*2|Fireball*3","Crossbow, Light|Dagger","4-7","jolly_shirley"
"0ad8f17",NA,"21c4ccc122ca124a58d1f09f90f14947","6e4139f","Aarakocra","Sailor",2018-12-19 19:34:44,"Ranger 5","Ranger","Gloom Stalker",5,"Sharpshooter",56,17,12,20,16,14,18,13,NA,"Athletics|Stealth|Insight|Perception","Shortsword|Longbow|Longbow (Sharpshooter)","Disguise Self*1|Goodberry*1|Hunter's Mark*1|Detect Magic*1|Rope Trick*2|Healing Spirit*2","Wis","fighting style/Archery","United States","US",NA,NA,NA,"Aarakocra","Disguise Self*1|Goodberry*1|Hunter's Mark*1|Detect Magic*1|Rope Trick*2|Healing Spirit*2","Shortsword|Longbow|Longbow","4-7","serene_rosalind"
"a2a7a77","0a4b773","852eb4b18fc69c3888bf243e2d5e484f","6a28215","Half-Elf","Folk Hero",2018-12-19 19:33:26,"Fighter 1","Fighter",NA,1,NA,1,16,18,15,11,10,11,15,NA,"History|Investigation|Animal Handling|Insight|Survival","Crossbow, light",NA,"Int","fighting style/Archery","United States","US",NA,NA,NA,"Half-Elf",NA,"Crossbow, Light","1-3","confident_lovelace"
NA,"82268d2","2d90a8d66af212043e3617baf8ab8416","a897f1b","Tabaxi","Acolyte",2018-12-19 19:12:40,"Druid 1","Druid",NA,1,NA,9,14,16,12,13,18,15,9,NA,"Stealth|Religion|Animal Handling|Insight|Medicine|Perception","Scimitar",NA,"Wis",NA,"Canada","CA",NA,NA,NA,"Tabaxi",NA,"Scimitar","1-3","silly_mestorf"
"a777597","82268d2","b533446bbf6c448611e3441a440733ad","fb1633a","Minotaur","Entertainer",2018-12-19 17:49:46,"Bard 12|Rogue 3","Bard|Rogue","College of Glamour|Inquisitive",15,"Observant|Actor|Alert",165,16,16,18,16,14,14,19,"Neutral Evil","Acrobatics|Sleight of Hand|History|Insight|Perception|Performance|Persuasion","Rapier|Dagger","Light*0|Mending*0|Prestidigitation*0|Vicious Mockery*0|Bane*1|Cure wounds*1|Dissonant Whispers*1|Healing word*1|Thunderwave*1|Detect Thoughts*2|Crown of Maddness*2|Shatter*2|Fireball*3|Loemund's Tiny Hut*3|Greater Invisibility*4|Polymorph*4|Animate Objects*5|Enervation*5|Mass Suggestion*6","Cha","expertise/Performance*Perception*Persuasion*Insight*Sleight of Hand*History","United States","US","NE",NA,NA,"Minotaur","Light*0|Mending*0|Prestidigitation*0|Vicious Mockery*0|Bane*1|Cure Wounds*1|Dissonant Whispers*1|Healing Word*1|Thunderwave*1|Detect Thoughts*2|Crown of Madness*2|Shatter*2|Fireball*3|Leomund's Tiny Hut*3|Greater Invisibility*4|Polymorph*4|Animate Objects*5|Enervation*5|Mass Suggestion*6","Rapier|Dagger","12-15","elated_turing"
"887953d",NA,"86ef09a891a3fda8c87c42f98c7e89fc","134d2c5","Stout Halfling","Sailor",2018-12-19 17:09:30,"Barbarian 3","Barbarian","Path of the Totem Warrior",3,NA,35,17,19,15,16,10,12,14,NA,"Athletics|Acrobatics|Sleight of Hand|Survival|Intimidation","Boarding Axes|Belaying Pin (Club)|Dagger|Battleaxe",NA,"Int",NA,"United States","US",NA,NA,NA,"Halfling",NA,"|Club|Dagger|Battleaxe","1-3","elastic_wescoff"
"0ad8f17",NA,"6cd1ce08ce42ac4a1513547f332f0fe7","e7fc159","Lineage - Zari","Acolyte",2018-12-19 16:24:11,"Paladin 5","Paladin","Oath of Vengeance",5,"Dual Wielder",53,20,18,12,15,14,14,17,NA,"Athletics|Religion|Insight|Intimidation","Lance|Javelin","Bane*1|Hunter<U+0092>s Mark*1|Hold Person*2|Misty Step*2","Cha","fighting style/Defense","United States","US",NA,NA,NA,"Tiefling","Bane*1|Hunter's Mark*1|Hold Person*2|Misty Step*2","Lance|Javelin","4-7","magical_buck"
NA,"82268d2","fcd17b615b61313954070aa16dcc8f47","02012c8","Hill Dwarf","Acolyte",2018-12-19 15:50:23,"Cleric 1","Cleric","Life Domain",1,NA,10,18,10,10,13,14,16,7,"Lawful Good","History|Religion|Insight|Medicine","Warhammer|Crossbow, light","Bless*1|Cure Wounds*1","Wis",NA,"Canada","CA","LG",NA,NA,"Dwarf","Bless*1|Cure Wounds*1","Warhammer|Crossbow, Light","1-3","flamboyant_mcclintock"
"ea47f82",NA,"30bfa345f8c497b9cd3df3c7b3d6ee54","7b94588","Ghastly Halfling","Far Traveler",2018-12-19 12:52:16,"Monk 1","Monk",NA,1,NA,10,18,15,19,15,13,18,13,"Neutral Good","Acrobatics|Stealth|Insight|Perception","Quarterstaff|Dart|Unarmed Strike",NA,"Wis",NA,"United States","US","NG",NA,NA,"Halfling",NA,"Quarterstaff|Dart|Unarmed Strike","1-3","nostalgic_hopper"
NA,"34f460c","e07ea5c32543c47b0f0c3d5e9262059d","045bbcc","Half-Elf","Charlatan",2018-12-19 12:37:23,"Warlock 8","Warlock","The Undying",8,"Lucky",56,14,8,17,15,9,9,18,NA,"Sleight of Hand|Stealth|History|Investigation|Deception","Club|Quarterstaff|Dagger","Spare the Dying*0|Eldritch Blast*0|Minor Illusion*0|Prestidigitation*0|Armor of Agathys*1|Darkness*2|Hypnotic Pattern*3|Counterspell*3|Fly*3|Death Ward*4|Banishment*4|Dimension Door*4|Hallucinatory Terraij*4","Cha","pact boon/Pact of the Chain|eldritch invocations/Agonizing Blast*Voice of the Chain Master*Mask of Many Faces","Canada","CA",NA,NA,NA,"Half-Elf","Spare the Dying*0|Eldritch Blast*0|Minor Illusion*0|Prestidigitation*0|Armor of Agathys*1|Darkness*2|Hypnotic Pattern*3|Counterspell*3|Fly*3|Death Ward*4|Banishment*4|Dimension Door*4|Hallucinatory Terrain*4","Club|Quarterstaff|Dagger","8-11","condescending_tereshkova"
NA,"34f460c","de5d6745c5f859135c024a307dd5197a","045bbcc","Half-Elf","Charlatan",2018-12-19 12:33:19,"Warlock 8","Warlock","The Undying",8,"Lucky",56,14,8,17,15,9,9,18,NA,"Sleight of Hand|Stealth|History|Investigation|Deception","Club|Quarterstaff|Dagger","Spare the Dying*0|Eldritch Blast*0|Minor Illusion*0|Prestidigitation*0|Armor of Agathys*1|Darkness*2|Hypnotic Pattern*3|Counterspell*3|Fly*3|Death Ward*4|Banishment*4|Dimension Door*4|Hallucinatory Terraij*4","Cha","pact boon/Pact of the Chain|eldritch invocations/Agonizing Blast*Voice of the Chain Master*Mask of Many Faces","Canada","CA",NA,NA,NA,"Half-Elf","Spare the Dying*0|Eldritch Blast*0|Minor Illusion*0|Prestidigitation*0|Armor of Agathys*1|Darkness*2|Hypnotic Pattern*3|Counterspell*3|Fly*3|Death Ward*4|Banishment*4|Dimension Door*4|Hallucinatory Terrain*4","Club|Quarterstaff|Dagger","8-11","condescending_tereshkova"
"74b83f6","82268d2","972abdf6da5a90f14887876d41500064","4fcd424","Protector Aasimar","Guild Member - Harmony",2018-12-19 00:55:37,"Cleric 8|Paladin 7","Cleric|Paladin","Life Domain|Oath of Death",15,"Medium Armor Master|War Caster|Shield Master",194,21,14,14,18,13,19,17,NA,"Nature|Medicine|Persuasion","Mace|Dagger","Bless*1|Cure Wounds*1|Cure Wounds*1|Inflict Wounds*1|Lesser Restoration*2|Spiritual Weapon*2|Lesser Restoration*2|Warding Bond*2|Beacon of Hope*3|Revivify*3|Death Ward*4|Guardian of Faith*4","Wis","fighting style/Defense","United States","US",NA,NA,NA,"Aasimar","Bless*1|Cure Wounds*1|Cure Wounds*1|Inflict Wounds*1|Lesser Restoration*2|Spiritual Weapon*2|Lesser Restoration*2|Warding Bond*2|Beacon of Hope*3|Revivify*3|Death Ward*4|Guardian of Faith*4","Mace|Dagger","12-15","lucid_jepsen"
