Class_ID,Class_Name,Ability,HP,Training,subclass,Proficiency
,Fighter,Nature,78,Tool,Champion,Crossbow Expert
,Bard,Religion,22,Scribing a Spell Scroll,College of Glamour,Actor
,Barbarian,Nature,74,Crafting an Item,Path of the Battlerager,Tough
,Warlock|Rogue,Endurance,51,Religious Service,The Hexblade|,Tough
,Mystic,Heal,163,Stronghold,Order of the Immortal,Shield Master
,Ranger,Arcana,13,Gambling,,Elven Accuracy
,Monk,Streetwise,60,Language,Way of the Long Death,Alert
,Wizard,Arcana,32,Language,School of Abjuration,Medium Armor
,Cleric,Dungeoneering,54,Sacred Rites,Life Domain,Prodigy
,Monk|Rogue,Heal,31,Language,Way of Shadow|,Tough
,Fighter,Nature,68,Scribing a Spell Scroll,Champion,Spell Sniper
,Druid,Bluff,52,Pit Fighting,Circle of the Land,Medium Armor
,Monk,Endurance,10,Language,,Tough
,Revised Ranger|Cleric,Religion,43,Religious Service,Beast Conclave|Life Domain,Crossbow Expert
,Druid,Bluff,11,Pit Fighting,,Great Weapon Master
,Revised Ranger|Cleric,Diplomacy,163,Carousing,Beast Conclave|Life Domain,Polearm Master
,Barbarian,Bluff,113,Sowing Rumors,Path of the Totem Warrior,Prodigy
,Barbarian,Dungeoneering,113,Sowing Rumors,Path of the Totem Warrior,Mobile
,Cleric,Athletics,30,Research,Tempest Domain,Sharpshooter
,Cleric,Dungeoneering,35,Work,Tempest Domain,Alert
,Druid|Cleric,Heal,43,Crafting an Item,Circle of Spores|Life Domain,Actor
,Warlock,Thievery,27,Pit Fighting,The Great Old One,Spell Sniper
,Fighter,Bluff,59,Selling a Magic Item,Purple Dragon Knight,Tough
,Ranger,Bluff,27,Carousing,Beast Master,Defensive Duelist
,Ranger,Diplomacy,51,Buying a Magic Item,Horizon Walker,Great Weapon Master
,Paladin,Stealth,12,Tool,,Sentinel
,Monk,Heal,8,Relaxation,,Resilient
,Cleric,Endurance,5,Work,Life Domain,Tough
,Rogue,Athletics,7,Research,,Mobile
,Barbarian,Arcana,14,Gambling,,Polearm Master
,Barbarian,Thievery,14,Research,,Alert
,Fighter,Athletics,12,Research,,Great Weapon Master
,Fighter|Paladin|Warlock,Bluff,161,Research,|Oath of Vengeance|The Great Old One,Actor
,Fighter,Insight,12,Research,,Sentinel
,Wizard|Warlock,Nature,25,Language,School of Abjuration|The Archfey,Polearm Master
,Paladin,Nature,59,Sowing Rumors,Oath of Ancients,Mobile
,Fighter|Rogue,Streetwise,117,Selling a Magic Item,Samurai|Swashbuckler,Spell Sniper
,Cleric,Diplomacy,11,Work,Death Domain,Defensive Duelist
,Wizard,Nature,7,Buying a Magic Item,,Resilient
,Paladin,Endurance,12,Pit Fighting,,Alert
,Cleric|Bard,Intimidate,35,Stronghold,Life Domain|College of Lore,Shield Master
,Cleric|Bard,Religion,35,Sowing Rumors,Life Domain|College of Lore,Spell Sniper
,Paladin,Arcana,76,Selling a Magic Item,Oath of Conquest,Polearm Master
,Wizard,Religion,71,Sowing Rumors,School of Conjuration,Prodigy
,Paladin,Intimidate,100,Research,Oath of Ancients,Spell Sniper
,Ranger,Bluff,87,Crime,Monster Slayer,Lucky
,Warlock,Athletics,30,Sacred Rites,The Hexblade,Sharpshooter
,Cleric,Thievery,10,Language,Life Domain,Sharpshooter
,Fighter,Athletics,12,Crafting an Item,,Sentinel
,Wizard,Diplomacy,23,Sacred Rites,School of Transmutation,Crossbow Expert
,Rogue,Nature,41,Religious Service,Thief,Lucky
,Ranger,Thievery,18,Crime,,Sentinel
,Ranger,Dungeoneering,11,Tool,,Tough
,Fighter,Arcana,14,Sowing Rumors,,Shield Master
,Druid,Nature,141,Work,Circle of the Shepherd,Sharpshooter
,Ranger|Fighter,Endurance,52,Stronghold,Hunter|,Prodigy
,Fighter,Dungeoneering,18,Relaxation,,Polearm Master
,Fighter,Thievery,18,Scribing a Spell Scroll,,Defensive Duelist
,Paladin,Stealth,65,Tool,Oath of the Crown,Lucky
,Cleric,Nature,10,Gambling,Life Domain,Shield Master
,Cleric,Nature,10,Buying a Magic Item,Life Domain,Mobile
,Monk,Endurance,190,Buying a Magic Item,Way of the Sun Soul,Prodigy
,Monk|Rogue,Thievery,200,Crafting an Item,Way of Shadow|Assassin,Sentinel
,Druid,Nature,11,Buying a Magic Item,,Sharpshooter
,Wizard,Bluff,37,Stronghold,School of Necromancy,Mobile
,Sorcerer,Nature,9,Pit Fighting,Shadow Magic,Actor
,Barbarian,Insight,14,Pit Fighting,,Spell Sniper
,Paladin,Arcana,13,Crime,,Observent
,Barbarian,Religion,13,Work,,Tough
,Cleric,Nature,24,Carousing,Tempest Domain,Defensive Duelist
,Cleric,Stealth,11,Carousing,Grave Domain,War Caster
,Druid,Insight,10,Scribing a Spell Scroll,,Elven Accuracy
,Warlock,Religion,10,Sowing Rumors,The Hexblade,Lucky
,Wizard,Insight,8,Tool,,Resilient
,Rogue,Insight,8,Stronghold,,Polearm Master
,Fighter,Streetwise,11,Sowing Rumors,,War Caster
,Bard,Athletics,9,Sacred Rites,,Shield Master
,Druid,Intimidate,9,Research,,Sharpshooter
,Ranger,Bluff,14,Stronghold,,Alert
,Warlock|Sorcerer,Dungeoneering,35,Selling a Magic Item,The Fiend|Divine Soul,Spell Sniper
,Rogue,Thievery,10,Stronghold,,Elven Accuracy
,Rogue,Intimidate,30,Research,Arcane Trickster,Lucky
,Rogue,Insight,8,Pit Fighting,,Shield Master
,Barbarian,Athletics,62,Carousing,Path of the Totem Warrior,Alert
,Ranger,Heal,12,Gambling,,Polearm Master
,Fighter,Religion,44,Work,Arcane Archer,Resilient
,Cleric,Athletics,10,Tool,Grave Domain,Mobile
,Rogue,Athletics,101,Scribing a Spell Scroll,Thief,Mobile
,Barbarian,Thievery,9,Religious Service,,Alert
,Rogue,Thievery,10,Gambling,,War Caster
,Fighter,Stealth,60,Stronghold,Eldritch Knight,Tough
,Fighter,Arcana,24,Relaxation,Champion,Dual Wielder
,Druid,Diplomacy,25,Crime,Circle of Dreams,Dual Wielder
,Monk,Thievery,24,Sacred Rites,Way of the Long Death,Elven Accuracy
,Monk,Thievery,24,Pit Fighting,Way of the Long Death,Alert
,Fighter,Dungeoneering,11,Sacred Rites,,Resilient
,Rogue,Endurance,21,Crafting an Item,Assassin,Spell Sniper
,Paladin|Warlock,Stealth,26,Crafting an Item,|The Fiend,Mobile
,Rogue,Nature,24,Crime,Arcane Trickster,Actor
,Druid,Intimidate,24,Tool,Circle of the Moon,Medium Armor
,Druid,Arcana,33,Religious Service,Circle of the Shepherd,Resilient
,Revised Ranger,Thievery,43,Sacred Rites,Beast Conclave,Sharpshooter
,Fighter,Heal,34,Tool,Battle Master,Elven Accuracy
,Ranger,Heal,28,Buying a Magic Item,Hunter,Crossbow Expert
,Wizard,Endurance,6,Sowing Rumors,,Medium Armor
,Barbarian,Insight,60,Sowing Rumors,Path of the Battlerager,Sharpshooter
,Wizard,Dungeoneering,27,Gambling,School of Divination,Shield Master
,Paladin,Insight,44,Scribing a Spell Scroll,Oath of Redemption,Mobile
,Rogue,Insight,43,Sacred Rites,Assassin,Defensive Duelist
,Paladin,Stealth,44,Scribing a Spell Scroll,Oath of Redemption,Medium Armor
,Barbarian,Thievery,35,Crafting an Item,Path of the Totem Warrior,Crossbow Expert
,Paladin|Wizard,Intimidate,52,Research,Oath of Conquest|War Magic,War Caster
,Barbarian,Streetwise,15,Gambling,,War Caster
,Barbarian,Nature,15,Gambling,,Alert
,Druid,Insight,27,Gambling,Circle of the Land,Defensive Duelist
,Druid,Streetwise,11,Stronghold,,Tough
,Barbarian,Heal,32,Gambling,Path of the Totem Warrior,Sharpshooter
,Wizard|Warlock,Intimidate,25,Sowing Rumors,School of Abjuration|The Archfey,War Caster
,Cleric,Heal,11,Carousing,Life Domain,Medium Armor
,Fighter,Intimidate,76,Language,Eldritch Knight,Tough
,Fighter,Insight,76,Carousing,Eldritch Knight,Mobile
,Rogue,Bluff,24,Religious Service,Scout,Shield Master
,Ranger,Arcana,8,Language,,Observent
,Fighter,Athletics,24,Tool,,Tough
,Wizard,Diplomacy,15,Crime,School of Evocation,Actor
,Druid,Intimidate,15,Selling a Magic Item,Circle of the Land,Lucky
,Rogue|Warlock,Stealth,85,Scribing a Spell Scroll,Arcane Trickster|The Fiend,Sentinel
,Bard,Heal,64,Carousing,College of Lore,Dual Wielder
,Bard,Arcana,64,Selling a Magic Item,College of Lore,Mobile
,Fighter,Insight,12,Stronghold,,Crossbow Expert
,Cleric,Thievery,15,Tool,Life Domain,Mobile
,Cleric,Arcana,79,Language,Death Domain,Alert
,Monk,Religion,10,Religious Service,,War Caster
,Cleric,Streetwise,10,Gambling,Tempest Domain,Great Weapon Master
,Wizard,Heal,37,Pit Fighting,Lore Mastery,Prodigy
,Sorcerer,Stealth,9,Crime,Storm Sorcery,Shield Master
,Sorcerer,Diplomacy,5,Stronghold,Storm Sorcery,Medium Armor
,Sorcerer,Insight,59,Stronghold,Wild Magic,Defensive Duelist
,Fighter,Dungeoneering,35,Relaxation,Eldritch Knight,Polearm Master
,Sorcerer,Arcana,7,Stronghold,Storm Sorcery,Mobile
,Paladin,Dungeoneering,-9,Buying a Magic Item,Oath of the Crown,Spell Sniper
,Fighter,Thievery,39,Sacred Rites,Champion,Lucky
,Paladin,Religion,-9,Crafting an Item,Oath of the Crown,Crossbow Expert
,Sorcerer,Arcana,24,Selling a Magic Item,Wild Magic,Observent
,Ranger,Endurance,44,Relaxation,Hunter,Shield Master
,Barbarian,Endurance,101,Tool,Path of the Totem Warrior,Shield Master
,Rogue,Insight,30,Scribing a Spell Scroll,Scout,Resilient
,Barbarian|Bard,Dungeoneering,73,Gambling,|College of Lore,Actor
,Barbarian,Endurance,101,Research,Path of the Totem Warrior,Lucky
,Barbarian,Endurance,101,Buying a Magic Item,Path of the Totem Warrior,Elven Accuracy
,Barbarian,Streetwise,101,Gambling,Path of the Totem Warrior,Crossbow Expert
,Barbarian,Streetwise,101,Carousing,Path of the Totem Warrior,Dual Wielder
,Barbarian,Diplomacy,101,Language,Path of the Totem Warrior,Resilient
,Barbarian,Thievery,101,Tool,Path of the Totem Warrior,Resilient
,Barbarian,Stealth,101,Carousing,Path of the Totem Warrior,Actor
,Barbarian,Stealth,65,Scribing a Spell Scroll,Path of the Totem Warrior,Resilient
,Cleric,Dungeoneering,0,Sowing Rumors,Life Domain,Crossbow Expert
,Barbarian,Intimidate,89,Gambling,Path of the Totem Warrior,Actor
,Paladin|Wizard,Athletics,58,Work,Oath of Conquest|War Magic,Shield Master
,Cleric,Nature,203,Relaxation,War Domain,Polearm Master
,Wizard,Nature,8,Crafting an Item,,Defensive Duelist
,Bard|Rogue|Fighter,Stealth,97,Crafting an Item,College of Lore||Purple Dragon Knight,Great Weapon Master
,Wizard,Insight,34,Pit Fighting,School of Divination,Observent
,Ranger,Stealth,69,Research,Hunter,Alert
,Wizard,Bluff,16,Gambling,Lore Mastery,Observent
,Wizard,Endurance,32,Sowing Rumors,School of Divination,Prodigy
,Barbarian,Streetwise,15,Crafting an Item,,Medium Armor
,Barbarian,Insight,15,Sowing Rumors,,Actor
,Bard|Warlock,Heal,42,Pit Fighting,College of Whispers|The Hexblade,Observent
,Bard|Warlock,Endurance,42,Sowing Rumors,College of Whispers|The Hexblade,Prodigy
,Sorcerer,Thievery,7,Crime,Divine Soul,Tough
,Paladin,Dungeoneering,9,Buying a Magic Item,,Defensive Duelist
,Fighter,Heal,28,Research,Champion,Actor
,Wizard,Endurance,10,Crime,,Polearm Master
,Sorcerer|Cleric,Arcana,54,Gambling,Divine Soul|Life Domain,Sentinel
,Cleric,Nature,10,Scribing a Spell Scroll,Tempest Domain,Mobile
,Cleric,Dungeoneering,30,Language,Grave Domain,War Caster
,Wizard,Stealth,32,Scribing a Spell Scroll,School of Divination,Polearm Master
,Monk,Diplomacy,52,Pit Fighting,Way of Shadow,Medium Armor
,Mystic,Nature,68,Pit Fighting,Order of the Wu Jen,Prodigy
,Warlock,Arcana,38,Sacred Rites,The Celestial,Tough
,Bard,Religion,44,Pit Fighting,College of Lore,Defensive Duelist
,Paladin,Nature,29,Gambling,Oath of Vengeance,Prodigy
,Druid,Endurance,37,Carousing,Circle of the Moon,Tough
,Bard,Religion,18,Tool,,Shield Master
,Paladin,Bluff,18,Crafting an Item,,Mobile
,Cleric,Athletics,16,Language,Trickery Domain,Tough
,Fighter,Religion,14,Crime,,Polearm Master
,Sorcerer,Athletics,7,Stronghold,Wild Magic,Defensive Duelist
,Monk,Thievery,8,Stronghold,,Crossbow Expert
,Druid,Athletics,37,Crafting an Item,Circle of Dreams,Sentinel
,Paladin,Bluff,88,Religious Service,Oath of Ancients,Alert
,Ranger,Heal,79,Selling a Magic Item,Monster Slayer,War Caster
,Rogue,Endurance,17,Sacred Rites,,Elven Accuracy
,Warlock|Bard,Heal,36,Religious Service,The Celestial|,Prodigy
,Fighter,Streetwise,48,Carousing,Samurai,Defensive Duelist
,Cleric,Intimidate,9,Language,Life Domain,Medium Armor
,Ranger,Intimidate,100,Relaxation,Horizon Walker,Spell Sniper
,Cleric,Insight,100,Carousing,Trickery Domain,Tough
,Paladin,Religion,12,Carousing,,Polearm Master
,Sorcerer,Intimidate,80,Tool,Shadow Magic,Observent
,Paladin,Endurance,13,Crime,,Prodigy
,Cleric,Dungeoneering,52,Pit Fighting,Death Domain,Tough
,Monk|Cleric,Nature,75,Relaxation,Way of the Long Death|Light Domain,Polearm Master
,Rogue|Ranger|Bard,Bluff,60,Relaxation,Thief|Gloom Stalker|College of Lore,Actor
,Druid,Intimidate,66,Sacred Rites,Circle of the Shepherd,Crossbow Expert
,Fighter|Bard,Nature,82,Religious Service,Battle Master|College of Lore,Great Weapon Master
,Cleric,Religion,45,Tool,Tempest Domain,Tough
,Barbarian|Druid,Diplomacy,67,Stronghold,Path of the Ancestral Guardian|Circle of the Moon,Observent
,Paladin|Sorcerer,Endurance,66,Relaxation,Oath of Ancients|Shadow Magic,Defensive Duelist
,Bard|Warlock,Endurance,51,Sacred Rites,College of Lore|The Hexblade,Sharpshooter
,Paladin|Sorcerer,Religion,56,Gambling,|Divine Soul,Alert
,Druid,Bluff,49,Buying a Magic Item,Circle of the Shepherd,Spell Sniper
,Wizard,Bluff,42,Scribing a Spell Scroll,School of Illusion,Elven Accuracy
,Ranger,Streetwise,28,Pit Fighting,,Mobile
,Rogue,Stealth,24,Buying a Magic Item,Assassin,Resilient
,Fighter|Rogue,Nature,70,Crafting an Item,Battle Master|,Lucky
,Bard,Bluff,9,Stronghold,,Observent
,Fighter,Insight,141,Sacred Rites,,Shield Master
,Ranger,Athletics,89,Pit Fighting,Hunter,Prodigy
,Paladin,Intimidate,124,Gambling,Oath of Ancients,Observent
,Barbarian|Bard,Endurance,89,Stronghold,|College of Lore,Resilient
,Rogue,Diplomacy,9,Language,,Elven Accuracy
,Fighter,Diplomacy,9,Selling a Magic Item,,Great Weapon Master
,Sorcerer,Thievery,9,Scribing a Spell Scroll,Wild Magic,Shield Master
,Paladin|Sorcerer,Arcana,73,Religious Service,Oath of Devotion|Draconic Bloodline,Dual Wielder
,Druid,Intimidate,16,Research,Circle of Dreams,Prodigy
,Sorcerer,Intimidate,72,Buying a Magic Item,Divine Soul,Spell Sniper
,Cleric,Nature,9,Selling a Magic Item,Trickery Domain,Sharpshooter
,Fighter,Heal,36,Tool,Champion,Great Weapon Master
,Paladin|Sorcerer,Nature,96,Language,Oath of Devotion|Draconic Bloodline,Defensive Duelist
,Warlock|Sorcerer,Streetwise,35,Stronghold,The Fiend|Divine Soul,Observent
,Wizard,Diplomacy,30,Gambling,Lore Mastery,Observent
,Bard|Warlock,Stealth,38,Religious Service,College of Glamour|The Archfey,Prodigy
,Barbarian,Arcana,15,Research,,Sentinel
,Wizard|Fighter,Bluff,82,Crime,School of Necromancy|,Lucky
,Wizard|Fighter,Religion,82,Sowing Rumors,School of Necromancy|,Defensive Duelist
,Fighter|Barbarian,Intimidate,247,Language,Champion|Path of the Totem Warrior,Polearm Master
,Fighter,Religion,60,Crafting an Item,Eldritch Knight,Alert
,Barbarian,Arcana,98,Carousing,Path of the Storm Herald,Spell Sniper
,Wizard,Streetwise,32,Sowing Rumors,School of Illusion,Sentinel
,Cleric,Nature,12,Scribing a Spell Scroll,Life Domain,Lucky
,Cleric,Thievery,120,Sacred Rites,Tempest Domain,War Caster
,Cleric,Nature,120,Scribing a Spell Scroll,Tempest Domain,Resilient
,Monk,Thievery,57,Crafting an Item,Way of the Four Elements,Defensive Duelist
,Paladin|Bard|Warlock,Diplomacy,122,Sowing Rumors,Oath of Redemption|College of Lore|The Great Old One,Dual Wielder
,Monk,Bluff,63,Gambling,Way of the Sun Soul,Mobile
,Cleric,Religion,60,Buying a Magic Item,Grave Domain,Dual Wielder
,Fighter,Athletics,225,Stronghold,Battle Master,Defensive Duelist
,Fighter,Bluff,28,Relaxation,Champion,Elven Accuracy
,Warlock,Insight,18,Research,The Hexblade,Sharpshooter
,Rogue,Bluff,94,Carousing,Thief,Alert
,Fighter,Endurance,11,Selling a Magic Item,,Alert
,Druid,Diplomacy,7,Sowing Rumors,,Crossbow Expert
,Paladin,Dungeoneering,25,Gambling,Oath of Vengeance,Spell Sniper
,Monk,Thievery,9,Crime,,Spell Sniper
,Bard,Streetwise,9,Relaxation,,Crossbow Expert
,Paladin|Sorcerer,Athletics,91,Research,Oath of Ancients|Storm Sorcery,Shield Master
,Paladin,Dungeoneering,28,Research,,Lucky
,Ranger,Stealth,11,Language,,Shield Master
,Ranger,Bluff,11,Carousing,,Observent
,Ranger,Religion,11,Relaxation,,Elven Accuracy
,Warlock,Arcana,13,Crime,The Hexblade,Lucky
,Warlock,Dungeoneering,13,Language,The Hexblade,War Caster
,Fighter,Intimidate,12,Buying a Magic Item,,Observent
,Wizard,Religion,22,Language,School of Abjuration,Tough
,Ranger,Endurance,25,Work,Beast Master,Tough
,Fighter,Insight,69,Religious Service,Eldritch Knight,War Caster
,Ranger,Intimidate,1,Tool,,Polearm Master
,Barbarian,Intimidate,33,Crafting an Item,Path of the Storm Herald,Mobile
,Sorcerer,Nature,26,Work,Shadow Magic,Tough
,Wizard,Religion,30,Tool,School of Divination,Crossbow Expert
,Paladin,Intimidate,28,Stronghold,Oath of the Crown,War Caster
,Sorcerer,Dungeoneering,10,Scribing a Spell Scroll,Draconic Bloodline,Lucky
,Fighter,Heal,20,Stronghold,,Dual Wielder
,Monk,Diplomacy,8,Buying a Magic Item,,Dual Wielder
,Paladin,Nature,114,Gambling,Oath of Ancients,Crossbow Expert
,Druid,Insight,59,Crafting an Item,Circle of the Land,Actor
,Revised Ranger,Diplomacy,9,Carousing,,Observent
,Fighter,Insight,11,Religious Service,,Spell Sniper
,Paladin,Heal,89,Stronghold,OathBreaker,Dual Wielder
,Fighter,Insight,112,Crime,Champion,Alert
,Mystic,Streetwise,115,Tool,Order of the Soul Knife,Sharpshooter
,Fighter|Mystic,Bluff,53,Carousing,Battle Master|Order of the Immortal,Spell Sniper
,Wizard|Fighter,Endurance,78,Work,School of Necromancy|,Elven Accuracy
,Fighter|Barbarian,Athletics,133,Selling a Magic Item,Champion|Path of the Berserker,Dual Wielder
,Fighter,Streetwise,12,Tool,,Polearm Master
,Rogue,Intimidate,24,Crime,Mastermind,Sharpshooter
,Sorcerer,Athletics,44,Crime,Wild Magic,Sharpshooter
,Cleric,Stealth,73,Work,Nature Domain,Sharpshooter
,Cleric,Heal,73,Selling a Magic Item,Nature Domain,Medium Armor
,Cleric,Stealth,10,Stronghold,Arcana Domain,Dual Wielder
,Paladin,Diplomacy,94,Research,Oath of Vengeance,Great Weapon Master
,Monk,Insight,10,Gambling,,Observent
,Fighter,Religion,33,Buying a Magic Item,Battle Master,Actor
,Sorcerer,Diplomacy,52,Relaxation,Wild Magic,Lucky
,Druid,Nature,36,Buying a Magic Item,Circle of the Moon,Mobile
,Fighter,Religion,56,Scribing a Spell Scroll,Battle Master,Actor
,Ranger,Thievery,88,Tool,Beast Master,Alert
,Monk,Thievery,4,Scribing a Spell Scroll,,Polearm Master
,Fighter,Athletics,76,Pit Fighting,Champion,Great Weapon Master
,Paladin,Athletics,10,Relaxation,,Prodigy
,Monk|Druid,Dungeoneering,33,Relaxation,Way of the Sun Soul|Circle of the Moon,Sentinel
,Druid,Arcana,10,Crafting an Item,,Tough
,Barbarian,Religion,200,Scribing a Spell Scroll,Path of the Berserker,Prodigy
,Cleric,Streetwise,88,Crafting an Item,Life Domain,Mobile
,Ranger,Religion,150,Relaxation,Beast Master,Medium Armor
,Paladin,Endurance,229,Carousing,Oath of Devotion,Tough
,Cleric,Athletics,16,Crime,Grave Domain,Resilient
,Bard,Arcana,9,Buying a Magic Item,,Lucky
,Ranger,Streetwise,45,Research,Hunter,Alert
,Ranger|Rogue,Streetwise,116,Stronghold,Hunter|Assassin,Observent
,Paladin,Endurance,110,Pit Fighting,Oath of Ancients,Elven Accuracy
,Fighter,Arcana,68,Sowing Rumors,Samurai,Prodigy
,Paladin,Bluff,11,Language,,Actor
,Wizard,Heal,30,Work,School of Divination,Actor
,Druid,Endurance,45,Work,Circle of the Moon,Dual Wielder
,Barbarian,Dungeoneering,50,Scribing a Spell Scroll,Path of the Totem Warrior,Actor
,Barbarian,Athletics,75,Research,Path of the Totem Warrior,Shield Master
,Barbarian,Religion,50,Gambling,Path of the Ancestral Guardian,Observent
,Monk,Intimidate,43,Religious Service,Way of the Open Hand,Dual Wielder
,Cleric,Athletics,23,Tool,Light Domain,Alert
,Paladin,Arcana,39,Religious Service,Oath of Vengeance,Mobile
,Rogue,Intimidate,33,Gambling,Mastermind,Alert
,Fighter,Diplomacy,39,Work,Champion,War Caster
,Sorcerer|Cleric,Endurance,54,Religious Service,Divine Soul|Life Domain,Sentinel
,Cleric,Thievery,9,Tool,Life Domain,Sharpshooter
,Druid,Diplomacy,16,Relaxation,Circle of Dreams,Sharpshooter
,Barbarian,Arcana,28,Religious Service,,War Caster
,Paladin,Endurance,26,Crime,,Actor
,Barbarian,Heal,28,Work,,Shield Master
,Barbarian,Athletics,28,Research,,Sharpshooter
,Ranger,Insight,21,Stronghold,,Defensive Duelist
,Barbarian,Insight,34,Crafting an Item,,Sentinel
,Rogue,Bluff,90,Selling a Magic Item,Swashbuckler,Mobile
,Barbarian|Fighter,Athletics,64,Crime,Path of the Berserker|,Lucky
,Ranger,Diplomacy,16,Selling a Magic Item,,Crossbow Expert
,Rogue|Warlock,Religion,44,Work,Assassin|The Hexblade,Spell Sniper
,Rogue|Fighter,Endurance,40,Gambling,Swashbuckler|,Mobile
,Rogue|Fighter,Streetwise,40,Crafting an Item,Swashbuckler|,Dual Wielder
,Sorcerer,Arcana,95,Relaxation,Storm Sorcery,Mobile
,Sorcerer,Heal,23,Tool,Shadow Magic,Alert
,Sorcerer,Athletics,44,Stronghold,Wild Magic,Crossbow Expert
,Cleric,Religion,7,Gambling,Tempest Domain,Observent
,Ranger,Heal,65,Research,Beast Master,Actor
,Fighter,Stealth,48,Relaxation,Champion,Actor
,Rogue|Fighter,Athletics,40,Pit Fighting,Swashbuckler|,Mobile
,Monk,Intimidate,9,Gambling,,Alert
,Bard|Fighter|Rogue,Heal,214,Crafting an Item,College of Lore|Arcane Archer|,Polearm Master
,Cleric,Arcana,38,Gambling,War Domain,Great Weapon Master
,Fighter,Diplomacy,12,Crafting an Item,,Prodigy
,Bard,Nature,88,Selling a Magic Item,College of Glamour,Mobile
,Monk,Bluff,9,Gambling,,Polearm Master
,Monk,Endurance,24,Relaxation,Way of the Kensei,Polearm Master
,Monk,Nature,24,Crafting an Item,Way of the Kensei,Medium Armor
,Sorcerer,Thievery,44,Carousing,Wild Magic,Sharpshooter
,Druid|Monk,Stealth,24,Selling a Magic Item,Circle of the Moon|,Alert
,Fighter,Athletics,68,Crime,Purple Dragon Knight,Shield Master
,Wizard,Insight,7,Crime,,Alert
,Ranger,Thievery,11,Research,,Spell Sniper
,Fighter,Thievery,12,Sacred Rites,,Spell Sniper
,Rogue|Cleric|Bard,Thievery,200,Pit Fighting,|Knowledge Domain|College of Lore,Sentinel
,Fighter,Arcana,43,Crafting an Item,Battle Master,Defensive Duelist
,Wizard,Thievery,42,Pit Fighting,School of Enchantment,Defensive Duelist
,Rogue,Nature,10,Crime,,Defensive Duelist
,Sorcerer,Arcana,47,Research,Revised Favored Soul,Sharpshooter
,Warlock,Athletics,9,Language,The Great Old One,Spell Sniper
,Druid,Athletics,8,Sacred Rites,,Crossbow Expert
,Barbarian|Druid,Nature,69,Pit Fighting,Path of the Totem Warrior|Circle of the Moon,War Caster
,Sorcerer|Warlock,Thievery,52,Relaxation,Shadow Magic|The Hexblade,Alert
,Sorcerer|Warlock,Nature,52,Buying a Magic Item,Shadow Magic|The Hexblade,War Caster
,Paladin,Heal,50,Work,Oath of Devotion,Shield Master
,Fighter|Barbarian,Athletics,122,Research,Champion|Path of the Berserker,Sharpshooter
,Barbarian,Nature,38,Research,Path of the Berserker,Mobile
,Wizard,Athletics,7,Pit Fighting,,Resilient
,Fighter|Barbarian,Stealth,152,Language,Champion|Path of the Berserker,Actor
,Wizard|Fighter,Arcana,73,Scribing a Spell Scroll,School of Necromancy|,Prodigy
,Fighter|Barbarian,Heal,152,Language,Champion|Path of the Berserker,Prodigy
,Druid,Bluff,27,Crime,Circle of the Moon,Lucky
,Fighter,Arcana,30,Crafting an Item,Champion,Crossbow Expert
,Barbarian,Dungeoneering,38,Carousing,Path of the Berserker,Dual Wielder
,Fighter,Religion,158,Gambling,Purple Dragon Knight,Dual Wielder
,Barbarian,Heal,159,Scribing a Spell Scroll,Path of the Berserker,Sharpshooter
,Paladin,Endurance,20,Sowing Rumors,,Medium Armor
,Paladin,Arcana,36,Tool,Oath of Vengeance,Sentinel
,Rogue,Insight,45,Buying a Magic Item,Assassin,Lucky
,Rogue,Nature,70,Stronghold,Assassin,Prodigy
,Ranger,Arcana,70,Language,Hunter,Tough
,Paladin,Diplomacy,90,Research,Oath of Vengeance,Actor
,Paladin,Thievery,36,Relaxation,Oath of Vengeance,Sharpshooter
,Druid,Intimidate,90,Work,Circle of the Moon,Sharpshooter
,Fighter,Heal,13,Pit Fighting,,Lucky
,Paladin,Thievery,44,Carousing,Oath of Vengeance,Medium Armor
,Ranger,Endurance,10,Sowing Rumors,,Prodigy
,Ranger,Nature,12,Language,,Resilient
,Ranger,Insight,28,Crime,Hunter,Alert
,Barbarian,Intimidate,16,Selling a Magic Item,Path of the Totem Warrior,Defensive Duelist
,Cleric|Bard,Bluff,35,Pit Fighting,Life Domain|College of Lore,Sharpshooter
,Fighter,Dungeoneering,28,Tool,Battle Master,Tough
,Monk,Arcana,200,Stronghold,Way of the Four Elements,Actor
,Barbarian,Bluff,14,Gambling,,Prodigy
,Rogue,Nature,8,Stronghold,,Shield Master
,Fighter,Nature,13,Pit Fighting,,Observent
,Rogue,Intimidate,57,Religious Service,Thief,Great Weapon Master
,Barbarian,Streetwise,95,Relaxation,Path of the Totem Warrior,Elven Accuracy
,Paladin|Wizard,Thievery,72,Work,|School of Conjuration,Elven Accuracy
,Fighter,Religion,-4,Crime,,Medium Armor
,Fighter,Athletics,28,Research,Eldritch Knight,Observent
,Cleric,Stealth,20,Scribing a Spell Scroll,Grave Domain,War Caster
,Fighter|Warlock,Stealth,48,Pit Fighting,|The Hexblade,Medium Armor
,Rogue,Arcana,8,Religious Service,,Shield Master
,Bard|Warlock,Arcana,24,Tool,College of Swords|The Hexblade,Elven Accuracy
,Paladin|Wizard,Heal,72,Scribing a Spell Scroll,|School of Conjuration,Prodigy
,Monk,Religion,9,Gambling,,Spell Sniper
,Fighter,Intimidate,48,Stronghold,Champion,Observent
