Race_ID,Race_Name,Size,Language,Abilities,Traits,Sub_races
,Human,Medium,Goblin,Nature,The Human Spirit,Volcano Dwarf
,Mountain Dwarf,Large,Elvish,Diplomacy,Elusivness,Fey Heritage
,Mountain Dwarf,Medium,Draconic,Athletics,Nimble Fingers,Firebeard Dwarf
,Turtle,Medium,Druidic,Religion,Escape Artist,Crystal Born
,Turtle,Gargantuan,Aquan,Religion,Gift of the Naaru,Arcadian
,Envoy,Large,Halfling,Streetwise,Engineering Specialist,Sunfire Elf
,Kenku,Medium,Gnoll,Athletics,Wisp Spirit,Firebeard Dwarf
,Human,Gargantuan,Terran,Heal,Arcane Resistance,Firebeard Dwarf
,Wood Elf,Gargantuan,Common,Athletics,Touch of Elune,Holy Elf
,Half-Orc,Tiny,Orc,Heal,Gift of the Naaru,Deep Dwarf
,Dragonborn,Large,Goblin,Insight,Arcane Resistance,Mothra Aasimar
,Wood Elf,Tiny,Gnoll,Endurance,Heroic Presence,Brae Dwarf
,Lightfoot Halfling,Gargantuan,Halfling,Thievery,Touch of Elune,Titanborn
,High Elf,Large,Giant,Diplomacy,Stone Form,Sunfire Elf
,Hill Dwarf,Huge,Aquan,Nature,Gift of the Naaru,Half-Celestial
,Hill Dwarf,Gargantuan,Auran,Insight,Every Man for Himself,Sunfire Elf
,Human,Large,Aquan,Heal,Engineering Specialist, Burly Halfling
,High Elf,Small,Abyssal,Intimidate,Wisp Spirit,Brae Dwarf
,Human,Gargantuan,Druidic,Bluff,Nimble Fingers,Titanborn
,Human,Medium,Undercommon,Intimidate,Touch of Elune,Brae Dwarf
,Hill Dwarf,Huge,Undercommon,Religion,Arcane Resistance,Arcadian
,Human,Gargantuan,Abyssal,Heal,Frost Resistance,Dragon Child
,Half-Elf,Large,Undercommon,Athletics,Might of the Mountain,Dragon Elf
,Forest Gnome,Huge,Terran,Athletics,Heroic Presence,Fey Heritage
,Serpentblood,Gargantuan,Dravish,Bluff,Explorer,Titanborn
,Half-Elf,Medium,Common,Endurance,Arcane Resistance,Sunfire Elf
,Half-Elf,Gargantuan,Common,Streetwise,Stone Form,Half Dragon
,Fallen Aasimar,Small,Aquan,Heal,Shadow Resistence,Sunfire Elf
,Half-Orc,Tiny,Gnomish,Religion,Frost Resistance,Urban Elf
,Human,Medium,Goblin,Intimidate,Stone Form,Half-Celestial
,Human,Large,Common,Diplomacy,Quickness,Urban Elf
,Tiefling,Gargantuan,Giant,Bluff,Shadow Resistence,Holy Elf
,Human,Huge,Deep Speech,Insight,Elusivness,Arcadian
,Human,Huge,Gnoll,Athletics,Engineering Specialist,Urban Elf
,Rock Gnome,Small,Aquan,Dungeoneering,Escape Artist,Arcadian
,Wood Elf,Huge,Ignan,Nature,Nimble Fingers, Burly Halfling
,Tabaxi,Gargantuan,Common,Arcana,Gem Cutting,Reaper Aasimar
,Tabaxi,Gargantuan,Dravish,Insight,The Human Spirit,Half Dragon
,Human,Gargantuan,Orc,Insight, Shadow Meld,Fey Heritage
,Tiefling,Gargantuan,Undercommon,Diplomacy,Gem Cutting,Half-Celestial
,Wood Elf,Huge,Auran,Stealth,Engineering Specialist,Half Dragon
,Human,Tiny,Orc,Bluff,Stone Form,Volcano Dwarf
,Human,Medium,Deep Speech,Nature,Heroic Presence,Dragon Elf
,Protector Aasimar,Huge,Sylvan,Streetwise,Engineering Specialist,Firebeard Dwarf
,Triton,Huge,Infernal,Stealth,Engineering Specialist,Half Dragon
,Triton,Medium,Infernal,Arcana,Shadow Resistence, Burly Halfling
,Dragonborn,Large,Celestial,Religion,Quickness,Volcano Dwarf
,Human,Tiny,Celestial,Stealth,Touch of Elune,Holy Elf
,Firbolg,Huge,Druidic,Religion,Frost Resistance,Holy Elf
,Dark Elf,Huge,Orc,Dungeoneering,Nature Resistence,Mothra Aasimar
,Dark Elf,Large,Common,Stealth,Explorer,Titanborn
,Mountain Dwarf,Small,Terran,Athletics,Touch of Elune,Dragon Elf
,High Elf,Large,Gnomish,Thievery,Shadow Resistence,Dragon Elf
,Gray Dwarf,Tiny,Deep Speech,Stealth,Nature Resistence,Titanborn
,Mountain Dwarf,Small,Celestial,Diplomacy,Escape Artist,Dragon Child
,Shadow Elf,Small,Gnomish,Bluff,Wisp Spirit,Fey Heritage
,Firbolg,Medium,Gnomish,Diplomacy,Gem Cutting,Half-Celestial
,Half-Orc,Tiny,Undercommon,Intimidate,Might of the Mountain, Burly Halfling
,Human,Tiny,Auran,Dungeoneering,Nature Resistence,Elemental Born
,Human,Tiny,Druidic,Intimidate,Touch of Elune,Crystal Born
,Half-Elf,Small,Deep Speech,Heal,The Human Spirit,Dragon Child
,Dark Elf,Small,Abyssal,Athletics,Might of the Mountain,Fey Heritage
,Kobold,Medium,Dravish,Intimidate,Arcane Resistance,Holy Elf
,Tabaxi,Huge,Primordial,Insight, Expansive Mind,Titanborn
,Tiefling,Medium,Auran,Athletics, Expansive Mind,Mothra Aasimar
,Dragonborn,Tiny,Celestial,Dungeoneering,Shadow Resistence,Dragon Elf
,Lightfoot Halfling,Small,Dravish,Endurance,The Human Spirit, Burly Halfling
,Tiefling,Gargantuan,Terran,Heal,Elusivness,Crystal Born
,Human,Huge,Undercommon,Streetwise,Heroic Presence, Burly Halfling
,Human,Large,Celestial,Bluff,Every Man for Himself,Reaper Aasimar
,Turtle,Huge,Celestial,Bluff,Elusivness,Titanborn
,Warforged,Gargantuan,Goblin,Nature,Might of the Mountain,Half-Celestial
,Lightfoot Halfling,Large,Gnomish,Nature,Escape Artist,Volcano Dwarf
,Mountain Dwarf,Medium,Ignan,Bluff,Gift of the Naaru,Half Dragon
,Dragonborn,Medium,Deep Speech,Dungeoneering,The Human Spirit,Winger Aasimar
,Half-Orc,Small,Celestial,Dungeoneering,Arcane Resistance,Mothra Aasimar
,Human,Gargantuan,Halfling,Insight,Engineering Specialist,Urban Elf
,Firbolg,Large,Draconic,Thievery,Touch of Elune,Deep Dwarf
,Human,Tiny,Abyssal,Religion, Expansive Mind,Crystal Born
,Human,Large,Sylvan,Athletics,Might of the Mountain,Arcadian
,Half-Elf,Large,Aquan,Athletics,Diplomacy,Winger Aasimar
,Kobold (Volvo's),Gargantuan,Orc,Stealth,Elusivness,Mothra Aasimar
,Human,Huge,Infernal,Bluff,Draenei,Urban Elf
,Warforged,Small,Giant,Bluff,The Human Spirit,Winger Aasimar
,Wood Elf,Tiny,Gnomish,Endurance,Quickness,Holy Elf
,Variant,Small,Gnoll,Bluff,Frost Resistance, Burly Halfling
,Firbolg,Large,Draconic,Nature,Escape Artist,Mothra Aasimar
,Half-Orc,Medium,Gnomish,Thievery,Nature Resistence,Urban Elf
,Human,Gargantuan,Celestial,Stealth,Heroic Presence, Burly Halfling
,High Elf,Large,Dravish,Bluff,Touch of Elune,Dragon Child
,Wood Elf,Small,Primordial,Dungeoneering,Nimble Fingers,Half Dragon
,Lizardfolk,Huge,Giant,Endurance,Explorer,Half-Celestial
,Tiefling,Small,Orc,Bluff,Draenei,Half Dragon
,Mountain Dwarf,Small,Celestial,Heal,Diplomacy,Fey Heritage
,Tiefling,Gargantuan,Ignan,Heal,Wisp Spirit,Volcano Dwarf
,Mountain Dwarf,Huge,Halfling,Nature,Frost Resistance,Arcadian
,High Elf,Small,Aquan,Intimidate,Nimble Fingers,Elemental Born
,Half-Orc,Small,Goblin,Endurance,Nature Resistence,Dragon Elf
,Half-Orc,Tiny,Ignan,Stealth,Shadow Resistence,Dragon Elf
,Warforged,Medium,Aquan,Heal,Touch of Elune,Titanborn
,Water Genasi,Gargantuan,Primordial,Insight,Wisp Spirit,Urban Elf
,Dragonborn,Gargantuan,Ignan,Intimidate,Shadow Resistence,Firebeard Dwarf
,Human,Huge,Abyssal,Streetwise,Stone Form,Brae Dwarf
,Half-Elf,Large,Draconic,Thievery,Draenei, Zombie
,Human,Huge,Orc,Heal,Might of the Mountain,Half-Celestial
,Human,Gargantuan,Elvish,Dungeoneering,Stone Form,Urban Elf
,Goblin,Small,Common,Stealth,Nimble Fingers,Reaper Aasimar
,Protector Aasimar,Large,Elvish,Thievery,Wisp Spirit,Reaper Aasimar
,Human,Small,Deep Speech,Intimidate,Might of the Mountain,Mothra Aasimar
,Rock Gnome,Medium,Primordial,Dungeoneering,Wisp Spirit, Zombie
,Sea Elf,Small,Dravish,Religion, Shadow Meld,Reaper Aasimar
,Wood Elf,Huge,Terran,Bluff,Might of the Mountain,Mothra Aasimar
,Human,Large,Gnoll,Religion,The Human Spirit,Crystal Born
,Human,Large,Primordial,Religion,Nimble Fingers,Titanborn
,Dragonborn,Gargantuan,Ignan,Stealth,Stone Form,Arcadian
,Human,Large,Primordial,Stealth,Escape Artist,Half-Celestial
,Dragonborn,Medium,Ignan,Arcana, Expansive Mind,Arcadian
,Tabaxi,Tiny,Common,Stealth,Heroic Presence,Deep Dwarf
,Mountain Dwarf,Huge,Halfling,Stealth,Arcane Resistance,Brae Dwarf
,Sea Elf,Small,Gnomish,Thievery,Touch of Elune,Dragon Elf
,Water Genasi,Huge,Draconic,Dungeoneering,Draenei,Firebeard Dwarf
,Water Genasi,Medium,Goblin,Thievery,Diplomacy,Winger Aasimar
,Tiefling,Huge,Draconic,Arcana,Arcane Resistance, Zombie
,Mountain Dwarf,Small,Giant,Dungeoneering,Gift of the Naaru,Brae Dwarf
,High Elf,Gargantuan,Terran,Religion,Might of the Mountain,Urban Elf
,Mountain Dwarf,Gargantuan,Druidic,Bluff,Gem Cutting, Zombie
,High Elf,Small,Draconic,Stealth, Expansive Mind,Volcano Dwarf
,Mountain Dwarf,Huge,Druidic,Religion,Shadow Resistence,Fey Heritage
,Forest Gnome,Huge,Draconic,Stealth,Wisp Spirit,Titanborn
,Half-Elf,Tiny,Deep Speech,Insight,Nimble Fingers,Deep Dwarf
,Mountain Dwarf,Tiny,Ignan,Dungeoneering,Quickness,Titanborn
,Human,Medium,Druidic,Intimidate,Escape Artist,Winger Aasimar
,Goliath,Large,Dravish,Athletics,Arcane Resistance,Sunfire Elf
,Mountain Dwarf,Gargantuan,Infernal,Bluff,Nature Resistence,Sunfire Elf
,Mountain Dwarf,Huge,Draconic,Insight, Shadow Meld,Titanborn
,Mountain Dwarf,Gargantuan,Goblin,Heal, Shadow Meld,Half Dragon
,Mountain Dwarf,Medium,Sylvan,Endurance,Nature Resistence,Mothra Aasimar
,Mountain Dwarf,Huge,Halfling,Intimidate,Frost Resistance,Arcadian
,Mountain Dwarf,Tiny,Elvish,Endurance,Shadow Resistence,Crystal Born
,Mountain Dwarf,Medium,Terran,Nature,Nimble Fingers, Burly Halfling
,Mountain Dwarf,Medium,Gnomish,Thievery,Quickness,Reaper Aasimar
,Human,Small,Common,Intimidate,Gift of the Naaru,Dragon Elf
,Mountain Dwarf,Medium,Draconic,Thievery,Explorer,Sunfire Elf
,Tiefling,Large,Draconic,Dungeoneering,Wisp Spirit,Half-Celestial
,Human,Tiny,Primordial,Thievery,Gem Cutting,Mothra Aasimar
,Serpentblood,Gargantuan,Orc,Diplomacy,Stone Form,Arcadian
,Human,Small,Giant,Diplomacy,Wisp Spirit,Half-Celestial
,Fire Genasi,Large,Primordial,Athletics,Escape Artist,Mothra Aasimar
,Wood Elf,Gargantuan,Giant,Endurance,Gem Cutting,Dragon Elf
,Human,Medium,Primordial,Diplomacy,Escape Artist,Reaper Aasimar
,Half-Elf,Large,Gnoll,Insight,Heroic Presence,Reaper Aasimar
,Goliath,Huge,Gnoll,Athletics,Shadow Resistence,Crystal Born
,Goliath,Tiny,Dravish,Streetwise,Every Man for Himself,Sunfire Elf
,Goblin,Tiny,Gnoll,Dungeoneering,Every Man for Himself,Deep Dwarf
,Goblin,Medium,Terran,Athletics,The Human Spirit,Dragon Elf
,Forest Gnome,Small,Giant,Arcana,Elusivness, Burly Halfling
,Lizardfolk,Small,Undercommon,Insight,Stone Form,Reaper Aasimar
,Human,Medium,Auran,Bluff,Every Man for Himself,Crystal Born
,Hill Dwarf,Huge,Abyssal,Intimidate,Heroic Presence,Urban Elf
,Protector Aasimar,Tiny,Halfling,Stealth,Draenei,Holy Elf
,Human,Small,Aquan,Bluff,Escape Artist,Volcano Dwarf
,Wood Elf,Tiny,Auran,Religion,Nature Resistence, Burly Halfling
,Half-Elf,Gargantuan,Aquan,Intimidate,Might of the Mountain,Volcano Dwarf
,Wood Elf,Huge,Sylvan,Insight,Wisp Spirit,Dragon Elf
,Human,Large,Gnoll,Arcana,Gem Cutting,Deep Dwarf
,Half-Elf,Small,Auran,Intimidate, Shadow Meld,Half-Celestial
,Half-Elf,Large,Deep Speech,Stealth,Every Man for Himself,Brae Dwarf
,Lizardfolk,Tiny,Gnoll,Endurance,Arcane Resistance,Half-Celestial
,Hill Dwarf,Small,Common,Arcana,Diplomacy,Dragon Child
,Tiefling,Medium,Ignan,Diplomacy,Elusivness,Mothra Aasimar
,Lizardfolk,Small,Infernal,Arcana,Quickness,Arcadian
,Forest Gnome,Gargantuan,Elvish,Athletics,Nature Resistence,Crystal Born
,Mountain Dwarf,Small,Deep Speech,Thievery,Nimble Fingers,Half Dragon
,Turtlebear,Tiny,Goblin,Religion,Diplomacy,Deep Dwarf
,Lizardfolk,Gargantuan,Giant,Streetwise,Wisp Spirit,Half-Celestial
,Human,Small,Draconic,Dungeoneering,Diplomacy,Reaper Aasimar
,Human,Large,Dravish,Intimidate,Explorer,Mothra Aasimar
,Human,Large,Terran,Bluff,Shadow Resistence,Crystal Born
,Goblin,Small,Dravish,Nature,Engineering Specialist,Reaper Aasimar
,Dragonborn,Tiny,Common,Thievery, Shadow Meld,Holy Elf
,Stout Halfling,Gargantuan,Dravish,Athletics,Frost Resistance, Burly Halfling
,Lightfoot Halfling,Huge,Ignan,Endurance,The Human Spirit,Deep Dwarf
,Human,Medium,Auran,Religion,Frost Resistance,Half Dragon
,Hill Dwarf,Huge,Aquan,Endurance,Gem Cutting,Winger Aasimar
,Scourge Aasimar,Small,Goblin,Thievery,Touch of Elune,Mothra Aasimar
,Human,Large,Druidic,Stealth,Frost Resistance,Deep Dwarf
,Human,Large,Draconic,Insight,Might of the Mountain,Brae Dwarf
,Gray-Elf,Tiny,Gnoll,Stealth,Quickness,Holy Elf
,Turtle,Small,Common,Heal,Quickness,Winger Aasimar
,Forest Gnome,Medium,Elvish,Intimidate,Heroic Presence,Titanborn
,Kenku,Large,Druidic,Nature,Quickness,Firebeard Dwarf
,Bugbear,Large,Terran,Thievery,Gem Cutting,Arcadian
,Goliath,Gargantuan,Gnomish,Intimidate, Expansive Mind,Dragon Elf
,Lizardfolk,Huge,Sylvan,Athletics,Stone Form,Dragon Elf
,Serpentblood,Huge,Common,Intimidate,Heroic Presence, Burly Halfling
,Human,Tiny,Deep Speech,Nature,Arcane Resistance,Holy Elf
,Human,Medium,Dravish,Dungeoneering,Nimble Fingers,Brae Dwarf
,Eladrin ToF,Medium,Deep Speech,Streetwise,Gift of the Naaru,Holy Elf
,Human,Tiny,Undercommon,Diplomacy,Heroic Presence,Fey Heritage
,Dragonborn,Medium,Primordial,Arcana,Gift of the Naaru,Holy Elf
,Wood Elf,Large,Undercommon,Thievery,Stone Form,Volcano Dwarf
,Human,Large,Sylvan,Bluff,Quickness,Half Dragon
,Half-Elf,Tiny,Orc,Stealth,Frost Resistance,Brae Dwarf
,Human,Medium,Celestial,Arcana,Arcane Resistance,Half Dragon
,Tabaxi,Small,Draconic,Religion,Gift of the Naaru,Volcano Dwarf
,Tortle,Tiny,Sylvan,Nature,Might of the Mountain,Half-Celestial
,Goliath,Medium,Sylvan,Stealth,Escape Artist,Half-Celestial
,Half-Elf,Huge,Common,Thievery, Expansive Mind,Half-Celestial
,Half-Elf,Small,Gnoll,Bluff,Draenei,Fey Heritage
,Goliath,Gargantuan,Ignan,Intimidate,Elusivness,Half Dragon
,Human,Large,Undercommon,Arcana,Nature Resistence,Dragon Child
,Hill Dwarf,Gargantuan,Gnomish,Diplomacy, Expansive Mind,Mothra Aasimar
,Mountain Dwarf,Large,Terran,Diplomacy,Explorer,Mothra Aasimar
,Yuan-Ti,Large,Abyssal,Nature,Gem Cutting,Elemental Born
,Warforged,Tiny,Infernal,Heal, Expansive Mind,Titanborn
,Human,Tiny,Infernal,Arcana,Diplomacy,Titanborn
,Tiefling,Medium,Dravish,Thievery,Nature Resistence, Burly Halfling
,Sea Elf,Tiny,Terran,Athletics,Every Man for Himself,Titanborn
,Half-Elf,Small,Terran,Heal,Draenei,Holy Elf
,Mountain Dwarf,Gargantuan,Primordial,Thievery,Diplomacy,Fey Heritage
,Dark Elf,Tiny,Halfling,Religion,Arcane Resistance,Half-Celestial
,Dark Elf,Small,Celestial,Endurance,The Human Spirit,Sunfire Elf
,Goliath,Large,Draconic,Thievery,The Human Spirit,Sunfire Elf
,Human,Small,Terran,Athletics,Wisp Spirit,Volcano Dwarf
,Triton,Gargantuan,Deep Speech,Thievery,Gift of the Naaru,Volcano Dwarf
,Deep Gnome,Gargantuan,Primordial,Insight,Gift of the Naaru, Zombie
,Hill Dwarf,Small,Draconic,Insight, Expansive Mind, Burly Halfling
,Hill Dwarf,Large,Primordial,Bluff, Expansive Mind,Crystal Born
,Hill Dwarf,Gargantuan,Undercommon,Athletics,Draenei,Fey Heritage
,Turtle,Gargantuan,Primordial,Nature,Touch of Elune,Dragon Child
,Human,Gargantuan,Giant,Thievery,Shadow Resistence,Half-Celestial
,Skellington,Huge,Orc,Intimidate, Expansive Mind,Mothra Aasimar
,Kenku,Huge,Goblin,Streetwise,Every Man for Himself, Burly Halfling
,Half-Orc,Huge,Dravish,Intimidate,Might of the Mountain,Titanborn
,Warforged,Medium,Gnomish,Stealth,Draenei,Arcadian
,Changeling,Tiny,Draconic,Heal,Gift of the Naaru,Elemental Born
,Lightfoot Halfling,Tiny,Common,Intimidate,The Human Spirit,Firebeard Dwarf
,Human,Large,Halfling,Nature,Draenei,Mothra Aasimar
,Half-Elf,Small,Gnoll,Arcana,Arcane Resistance,Brae Dwarf
,Human,Small,Abyssal,Streetwise,Engineering Specialist,Half-Celestial
,Lineage - Fier,Gargantuan,Gnomish,Dungeoneering,Gem Cutting,Firebeard Dwarf
,Half-Elf,Medium,Elvish,Athletics,Heroic Presence,Winger Aasimar
,Dragonborn,Small,Undercommon,Heal,Gift of the Naaru,Fey Heritage
,Protector Aasimar,Tiny,Giant,Insight,Elusivness,Volcano Dwarf
,Human,Huge,Aquan,Religion,The Human Spirit,Reaper Aasimar
,Human,Medium,Halfling,Diplomacy,Engineering Specialist,Holy Elf
,Human,Huge,Orc,Diplomacy,Quickness,Reaper Aasimar
,Changeling,Small,Gnoll,Endurance,Escape Artist,Volcano Dwarf
,Changeling,Large,Infernal,Streetwise,Every Man for Himself, Zombie
,Juggernaut,Tiny,Common,Thievery,Explorer, Burly Halfling
,High Elf,Tiny,Gnomish,Arcana,Escape Artist,Titanborn
,Human,Huge,Draconic,Streetwise,Gift of the Naaru,Half-Celestial
,High Elf,Huge,Deep Speech,Thievery,Explorer, Burly Halfling
,Gray Dwarf,Tiny,Orc,Heal,Nature Resistence,Half Dragon
,Dragonborn,Huge,Giant,Arcana,The Human Spirit,Dragon Child
,Human,Small,Celestial,Athletics,Wisp Spirit,Mothra Aasimar
,Fire Genasi,Medium,Aquan,Intimidate,Quickness,Winger Aasimar
,Stout Halfling,Gargantuan,Dravish,Streetwise,Escape Artist,Urban Elf
,Tiefling,Small,Elvish,Heal,Diplomacy,Arcadian
,Firbolg,Small,Ignan,Arcana,Draenei, Burly Halfling
,Half-Orc,Medium,Celestial,Dungeoneering,Nature Resistence,Dragon Child
,Tortle,Huge,Terran,Endurance,Every Man for Himself,Sunfire Elf
,Triton,Small,Aquan,Bluff, Expansive Mind,Reaper Aasimar
,Human,Large,Goblin,Endurance,Every Man for Himself,Crystal Born
,High Elf,Large,Terran,Bluff,Diplomacy,Urban Elf
,Dragonborn,Small,Deep Speech,Athletics,Arcane Resistance, Burly Halfling
,Half-Orc,Huge,Gnomish,Streetwise,Nimble Fingers,Winger Aasimar
,High Elf,Large,Orc,Stealth,Might of the Mountain,Deep Dwarf
,Human,Huge,Infernal,Heal, Expansive Mind,Fey Heritage
,Minotaur,Medium,Dravish,Stealth,Explorer,Mothra Aasimar
,Half-Orc,Huge,Common,Endurance,Wisp Spirit,Dragon Child
,Lineage - Fier,Small,Auran,Streetwise,Every Man for Himself, Burly Halfling
,Human,Huge,Goblin,Thievery,Nimble Fingers,Firebeard Dwarf
,Half-Elf,Huge,Draconic,Bluff, Shadow Meld,Winger Aasimar
,Half-Orc,Large,Undercommon,Athletics,Diplomacy,Half-Celestial
,Half-Orc,Gargantuan,Goblin,Heal,Engineering Specialist,Deep Dwarf
,Human,Small,Auran,Arcana,Wisp Spirit,Holy Elf
,Dragonborn,Medium,Deep Speech,Thievery,Nimble Fingers,Volcano Dwarf
,Forest Gnome,Tiny,Auran,Intimidate, Shadow Meld, Burly Halfling
,Stout Halfling,Huge,Gnoll,Insight,Every Man for Himself,Volcano Dwarf
,Tiefling,Gargantuan,Terran,Intimidate, Shadow Meld,Arcadian
,Half-Orc,Gargantuan,Primordial,Intimidate,Touch of Elune,Half-Celestial
,Human,Huge,Draconic,Insight,Explorer,Dragon Child
,Aarakocra,Huge,Sylvan,Heal,Gift of the Naaru,Deep Dwarf
,Half-Orc,Large,Goblin,Endurance,Stone Form,Reaper Aasimar
,Stout Halfling,Huge,Aquan,Stealth,Nimble Fingers,Elemental Born
,Dragonborn,Large,Primordial,Bluff,Stone Form,Holy Elf
,Firbolg,Huge,Orc,Streetwise,Elusivness,Half Dragon
,Wood Elf,Large,Celestial,Nature, Expansive Mind,Elemental Born
,Deep Gnome,Tiny,Draconic,Bluff, Shadow Meld,Mothra Aasimar
,Human,Gargantuan,Aquan,Dungeoneering,Explorer,Volcano Dwarf
,Wood Elf,Small,Undercommon,Diplomacy,Gift of the Naaru,Half-Celestial
,Human,Large,Undercommon,Arcana,Wisp Spirit,Arcadian
,Firbolg,Large,Giant,Nature,Every Man for Himself,Fey Heritage
,Half-Elf,Tiny,Gnoll,Streetwise,Draenei,Holy Elf
,Air Genasi,Gargantuan,Aquan,Heal,Quickness,Reaper Aasimar
,Wood Elf,Gargantuan,Draconic,Insight,Touch of Elune,Arcadian
,Water Genasi,Large,Abyssal,Intimidate,Frost Resistance,Sunfire Elf
,Goliath,Gargantuan,Sylvan,Bluff,Touch of Elune,Crystal Born
,Protector Aasimar,Small,Undercommon,Nature,Draenei,Mothra Aasimar
,Forest Gnome,Large,Terran,Religion,Quickness,Mothra Aasimar
,Hill Dwarf,Large,Ignan,Streetwise,Nature Resistence,Volcano Dwarf
,Half-Orc,Tiny,Terran,Stealth,Might of the Mountain,Half Dragon
,Half-Orc,Large,Druidic,Streetwise,Escape Artist,Crystal Born
,Triton,Huge,Common,Intimidate,Nature Resistence,Sunfire Elf
,Wood Elf,Tiny,Terran,Bluff,Frost Resistance,Volcano Dwarf
,Tabaxi,Gargantuan,Infernal,Arcana,Wisp Spirit,Half-Celestial
,Aarakocra,Small,Celestial,Diplomacy,Wisp Spirit,Crystal Born
,Dark Elf,Medium,Halfling,Heal,Elusivness,Urban Elf
,Human,Large,Orc,Nature, Shadow Meld,Brae Dwarf
,Protector Aasimar,Small,Dravish,Heal,Frost Resistance,Fey Heritage
,Kobold,Gargantuan,Primordial,Heal,Nimble Fingers,Deep Dwarf
,Forest Gnome,Medium,Draconic,Heal,Heroic Presence,Holy Elf
,Mountain Dwarf,Medium,Orc,Religion,Frost Resistance,Mothra Aasimar
,Deep Gnome,Gargantuan,Undercommon,Insight,Explorer,Half-Celestial
,Lineage - Zari,Tiny,Common,Religion,Explorer,Half-Celestial
,Mountain Dwarf,Huge,Orc,Thievery,Draenei,Winger Aasimar
,Rock Gnome,Huge,Sylvan,Bluff,Nature Resistence,Sunfire Elf
,Mountain Dwarf,Medium,Goblin,Streetwise,Nature Resistence,Titanborn
,Wood Elf,Small,Celestial,Streetwise,Might of the Mountain,Fey Heritage
,Goblin,Tiny,Dravish,Diplomacy,Might of the Mountain,Winger Aasimar
,Dragonborn,Tiny,Celestial,Insight,Heroic Presence,Holy Elf
,Tabaxi,Large,Primordial,Nature,Draenei, Zombie
,Half-Orc,Medium,Goblin,Endurance,Every Man for Himself,Titanborn
,Half-Orc,Large,Primordial,Diplomacy,Nimble Fingers,Brae Dwarf
,Half-Orc,Gargantuan,Orc,Streetwise,The Human Spirit,Half Dragon
,Human,Large,Orc,Diplomacy,Quickness,Winger Aasimar
,Half-Elf,Huge,Elvish,Endurance,Nature Resistence,Sunfire Elf
,Wood Elf,Small,Elvish,Nature,Draenei, Zombie
,Wood Elf,Huge,Celestial,Athletics,Heroic Presence,Elemental Born
,Human,Tiny,Abyssal,Bluff,Explorer, Burly Halfling
,Half-Orc,Small,Halfling,Intimidate,Every Man for Himself,Firebeard Dwarf
,Lightfoot Halfling,Gargantuan,Abyssal,Stealth,Nature Resistence, Zombie
,Variant,Tiny,Druidic,Streetwise,Nature Resistence,Sunfire Elf
,Human,Gargantuan,Abyssal,Bluff,Frost Resistance,Urban Elf
,Human,Tiny,Gnomish,Insight,Gem Cutting,Fey Heritage
,Protector Aasimar,Huge,Elvish,Religion,Engineering Specialist,Arcadian
,Lightfoot Halfling,Huge,Goblin,Arcana,Escape Artist,Holy Elf
,Human,Small,Abyssal,Diplomacy,Touch of Elune,Holy Elf
,Human,Large,Infernal,Athletics,Nimble Fingers,Dragon Child
,Tiefling,Huge,Halfling,Arcana,Frost Resistance,Dragon Child
,Wood Elf,Medium,Sylvan,Stealth,Nimble Fingers,Elemental Born
,Tabaxi,Small,Orc,Religion,Stone Form,Crystal Born
,High Elf,Medium,Deep Speech,Thievery,Stone Form, Zombie
,Dragonborn,Large,Infernal,Streetwise,Every Man for Himself,Dragon Child
,Tiefling,Huge,Gnomish,Bluff,Nature Resistence,Half Dragon
,Half-Elf,Tiny,Sylvan,Athletics,Elusivness,Titanborn
,Dragonborn,Gargantuan,Dravish,Stealth,Diplomacy,Firebeard Dwarf
,Goblin,Large,Goblin,Thievery,Nimble Fingers,Volcano Dwarf
,Aarakocra,Tiny,Primordial,Endurance,Shadow Resistence,Holy Elf
,Tiefling,Tiny,Abyssal,Dungeoneering,Explorer,Urban Elf
,Tiefling,Small,Celestial,Dungeoneering, Shadow Meld,Mothra Aasimar
,High Elf,Huge,Auran,Religion,Escape Artist,Winger Aasimar
,Goliath,Gargantuan,Orc,Athletics,Gift of the Naaru,Mothra Aasimar
,Human,Huge,Ignan,Intimidate,Wisp Spirit,Dragon Child
,Human,Tiny,Infernal,Diplomacy, Shadow Meld,Dragon Child
,Human,Large,Terran,Heal,Arcane Resistance,Brae Dwarf
,Half-Orc,Large,Halfling,Arcana,Quickness,Urban Elf
,Goliath,Medium,Gnomish,Intimidate,Arcane Resistance,Winger Aasimar
,High Elf,Medium,Abyssal,Arcana,Explorer,Reaper Aasimar
,Half-Orc,Small,Aquan,Bluff,Touch of Elune,Urban Elf
,Minotaur,Gargantuan,Goblin,Intimidate,Frost Resistance,Crystal Born
,Half-Orc,Huge,Gnomish,Athletics,Might of the Mountain,Dragon Child
,Human,Tiny,Druidic,Nature,Heroic Presence,Holy Elf
,Goliath,Large,Sylvan,Streetwise,Stone Form,Elemental Born
,Goliath,Small,Abyssal,Athletics,Heroic Presence,Urban Elf
,Human,Tiny,Halfling,Streetwise,Quickness, Burly Halfling
,Half-Orc,Tiny,Elvish,Intimidate,Diplomacy,Dragon Elf
,Stout Halfling,Gargantuan,Ignan,Endurance,Arcane Resistance,Winger Aasimar
,Human,Large,Goblin,Athletics,Shadow Resistence,Half Dragon
,Human,Huge,Giant,Intimidate,Draenei,Firebeard Dwarf
