"Race_Name","BG_Name","class","Class_Name","subclass","Level","Proficiency","HP","skills","weapons","Spell_Name","Casting_Time","choices","C_Name","PI_ID","PI_Name","Armor_Class","Story","Job","Characteristics","Ability","Training","Eq_Name","Price","Usage","Size","Language","Abilities","Traits","Components","Duration","Speed"
"Human","Acolyte","Cleric 5","Cleric","War Domain",5,NA,42,"Religion|Insight|Medicine|Persuasion","Mace|Crossbow, Light","Divine Favor*1|Shield of Faith*1|Magic Weapon*2|Spiritual Weapon*2|Crusader's Mantle*3|Spirit Guardian*3","Wis",NA,"zealous_zhukovsky",5375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Variant","Guild Artisan","Warlock 4|Sorcerer 6","Warlock|Sorcerer","The Fiend|Draconic Bloodline",10,NA,98,"Insight|Deception|Intimidation|Persuasion","Crossbow, light|Dagger",NA,"Cha","pact boon/Pact of the Chain|eldritch invocations/Agonizing Blast|metamagic/Subtle Spell*Quickened Spell","inspiring_curie",5376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Half-Orc","Faction Agent","Paladin 5","Paladin","Oath of Vengeance",5,"Heavy Armor Master",39,"Athletics|Insight|Intimidation|Performance|Persuasion","Glaive|Longsword|Dagger","Bane*1|Hunter<U+0092>s Mark*1|Hold Person*2|Misty Step*2","Cha","fighting style/Dueling","recursing_franklin",5377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mountain Dwarf","Soldier","Fighter 5","Fighter","Eldritch Knight",5,"Dual Wielder",57,"Athletics|Insight|Perception|Intimidation","Warhammer|Handaxe|Spear","Ray of Frost*0|Firebolt*0|Sheild*1|Sleep*1|Burning Hands*1|Thunderwave*1","Int","fighting style/Two-Weapon Fighting","reverent_saha",5378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Human","Urchin","Ranger 5","Ranger","Hunter",5,NA,44,"Athletics|Sleight of Hand|Stealth|Investigation|Animal Handling","Shortsword|Longbow","Hail Of Thorns*1|Cure Wounds*1|Animal Talk*1","Wis","fighting style/Archery","youthful_wozniak",5379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Half-Elf","Criminal","Warlock 4","Warlock","The Great Old One",4,NA,31,"Sleight of Hand|Stealth|Arcana|History|Deception|Persuasion","Dagger","Eldritch Blast*0|Prestidigitation*0|Hex*1|Dissonant Whispers*1","Cha","eldritch invocations/Agonizing Blast*Book of Ancient Secrets|pact boon/Pact of the Tome","quizzical_mcnulty",5380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Human","Urchin","Barbarian 1","Barbarian",NA,1,"Charger",15,"Athletics|Acrobatics|Sleight of Hand|Stealth|Intimidation","Greataxe|Crossbow, light|Javelin",NA,"Int",NA,"suspicious_herschel",5381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dragonborn","Far Traveler","Barbarian 3","Barbarian","Path of the Berserker",3,NA,42,"Insight|Perception|Survival|Intimidation","Greataxe|Handaxe|Javelin",NA,"Int",NA,"unruffled_morse",5382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hill Dwarf","Sailor","Barbarian 1","Barbarian",NA,1,NA,16,"Athletics|Animal Handling|Perception|Survival","Greataxe|Handaxe|Javelin",NA,"Int",NA,"ecstatic_golick",5383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Half-Elf","Noble","Sorcerer 3","Sorcerer","Wild Magic",3,NA,23,"History|Animal Handling|Insight|Deception|Intimidation|Persuasion","Quarterstaff|Dagger","Light*0|Prestidigitation*0|Fire Bolt*0|Ray Of Frost*0|Chaos Bolt*1|Sleep*1|Invisibility*2","Cha","metamagic/Twinned Spell*Empowered Spell","crazy_aryabhata",5384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Human","Inquisitor","Paladin 3","Paladin","Oath of Conquest",3,NA,28,"Investigation|Religion|Intimidation|Persuasion","Morningstar|Javelin","Armor of Agathys*1|Command*1|Wrathful Smite*1|Shield Of Faith*1|Heroism*1|Bless*1","Cha","fighting style/Defense","stoic_euclid",5385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tiefling","Criminal","Rogue 3","Rogue","Arcane Trickster",3,NA,25,"Acrobatics|Sleight of Hand|Stealth|Investigation|Perception|Deception","Shortsword|Shortbow|Dagger","Mage Hand*0|Fire Bolt*0|Minor Illusion*0|Disguise Self*1|Sleep*1|Find Familiar*1","Int","expertise/Thieves' Tools*Stealth|tiefling variants menu/Infernal Legacy","hopeful_matsumoto",5386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lineage - Glas","Far Traveler","Warlock 2","Warlock","The Fiend",2,NA,17,"Arcana|Investigation|Insight|Perception","Crossbow, light|Dagger","Minor Illusion*0|Magic Stone*0|Toll the Dead*0|Burning Hands*1|Command*1|Comprehend Languages*1","Cha","eldritch invocations/Fiendish Vigor*Armor of Shadows","festive_euclid",5387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Half-Elf","Sailor","Rogue 4|Bard 4|Fighter 6|Warlock 6","Rogue|Bard|Fighter|Warlock","Swashbuckler|College of Swords|Battle Master|The Hexblade",20,"Elven Accuracy|Tough",209,"Athletics|Acrobatics|Sleight of Hand|Stealth|Investigation|Insight|Perception|Performance|Persuasion","Rapier|Shortbow|Dagger|Whip",NA,"Int","fighting style/Dueling*Defense|pact boon/Pact of the Blade|eldritch invocations/Armor of Shadows*Improved Pact Weapon*Eldritch Smite|expertise/Stealth*Perception*Performance*Investigation|combat superiority maneuvers/Riposte*Parry*Feinting Attack","wonderful_blackwell",5388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Human","City Watch","Barbarian 7","Barbarian","Path of the Totem Warrior",7,"Shield Master",68,"Athletics|Sleight of Hand|Perception|Deception|Intimidation","Warhammer|Handaxe|Crossbow, heavy|Longspear, silver|Bloodspear",NA,"Int",NA,"ecstatic_wozniak",5389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Half Elf(Drow)","Guild Trader","Warlock 3|Sorcerer 2","Warlock|Sorcerer","The Great Old One|Draconic Bloodline",5,NA,45,"Insight|Deception|Intimidation|Persuasion","Dagger|Quarterstaff|Crossbow, light",NA,"Cha","pact boon/Pact of the Chain|eldritch invocations/Voice of the Chain Master*Agonizing Blast","inspiring_curie",5390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Variant","Guild Artisan","Warlock 3|Sorcerer 2","Warlock|Sorcerer","The Great Old One|Draconic Bloodline",5,NA,45,"Insight|Deception|Intimidation|Persuasion",NA,NA,"Cha","pact boon/Pact of the Chain|eldritch invocations/Voice of the Chain Master*Agonizing Blast","inspiring_curie",5391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Half-Orc","Outlander","Druid 1","Druid",NA,1,NA,10,"Athletics|Animal Handling|Perception|Survival|Intimidation",NA,NA,"Wis",NA,"frosty_chatterjee",5392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tiefling","Sage","Wizard 3","Wizard","School of Evocation",3,NA,15,"Arcana|History|Investigation|Medicine","Quarterstaff",NA,"Int",NA,"keen_raman",5393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sea Elf","Noble","Paladin 3","Paladin","Oath of Devotion",3,NA,39,"History|Religion|Insight|Perception|Persuasion","Warhammer|Javelin","Protection from Evil and Good*1|Sanctuary*1","Cha","fighting style/Protection","crazy_shirley",5394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dragonborn","Outlander","Ranger 3","Ranger","Monster Slayer",3,NA,28,"Athletics|Stealth|Nature|Animal Handling|Survival","Shortsword|Longbow","Protection from Evil and Good*1|Hunter's Mark*1|Hail Of Thorns*1|Cure Wounds *1","Wis","fighting style/Archery","magical_kare",5395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"High Elf","Sage","Druid 3","Druid","Circle of the Moon",3,NA,24,"Arcana|History|Nature|Animal Handling|Perception","Quarterstaff|Handaxe",NA,"Wis",NA,"amazing_bardeen",5396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stout Halfling","Folk Hero","Fighter 5","Fighter","Champion",5,NA,73,"Animal Handling|Insight|Perception|Survival","Shortsword|Handaxe",NA,"Int","fighting style/Great Weapon Fighting","jolly_engelbart",5397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Human","Soldier","Paladin 5","Paladin","Oath of Ancients",5,"Savage Attacker",63,"Athletics|Medicine|Intimidation","Longsword|Javelin|Crossbow, Heavy|Morning Glory","Divine Sense*0|Lay On Hands*0|Ensnaring Strike*1|Speak with Animals*1|Moonbeam*2|Misty Step*2","Cha","fighting style/Defense","dazzling_diffie",5398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Serpentblood","Urban Bounty Hunter","Paladin 2","Paladin",NA,2,NA,28,"Insight|Deception|Intimidation|Persuasion","Death Scythe|Shortsword|Dagger",NA,"Cha","fighting style/Defense","upbeat_wozniak",5399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Human","Urban Bounty Hunter","Barbarian 1","Barbarian",NA,1,NA,15,"Athletics|Deception|Intimidation|Persuasion","Greatsword|Spear|Javelin",NA,"Int",NA,"affectionate_hellman",5400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"High Elf","Urchin","Rogue 3","Rogue","Thief",3,NA,24,"Acrobatics|Sleight of Hand|Stealth|Investigation|Perception|Deception|Persuasion","Shortsword|Shortsword|Dagger","Minor Illusion*0","Int","expertise/Stealth*Deception","vibrant_moser",5401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wood Elf","Elite Ranger","Ranger 7","Ranger","Hunter",7,NA,73,"Stealth|Nature|Religion|Medicine|Perception|Survival","""Beyonce""|""Shadow's Voice""|""Moon's Song""","Cure Wounds*1|Jump*1|Ensnaring Strike*1|Silence*2|Protection From Poison*2","Wis","fighting style/Two-Weapon Fighting","eloquent_khorana",5402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Half-Orc","Haunted One","Barbarian 6","Barbarian","Path of the Totem Warrior",6,"Great Weapon Master",70,"Athletics|Insight|Perception|Survival|Intimidation","The Render|Hand of the Sparrow",NA,"Int",NA,"brave_noether",5403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Half-Orc","Haunted One","Barbarian 6","Barbarian","Path of the Totem Warrior",6,"Great Weapon Master",58,"Athletics|Insight|Perception|Survival|Intimidation","The Render|Hand of the Sparrow",NA,"Int",NA,"brave_noether",5404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Half-Elf","Entertainer","Bard 1","Bard",NA,1,NA,10,"Acrobatics|Stealth|Perception|Deception|Intimidation|Performance|Persuasion","Rapier|Dagger|Crossbow, Hand","Vicious Mockery*0|Friends*0|Faerie Fire*1|Dissonant Whispers*1|Bane*1|Sleep*1","Cha",NA,"happy_fermi",5405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lightfoot Halfling","Criminal","Rogue 1","Rogue",NA,1,NA,10,"Acrobatics|Sleight of Hand|Stealth|Investigation|Perception|Deception","Rapier|Crossbow, Hand|Dagger|Dagger",NA,"Int","expertise/Stealth","adoring_mendeleev",5406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Human","Sailor","Cleric 1","Cleric","Tempest Domain",1,"War Caster",11,"Athletics|Medicine|Perception","Warhammer|Crossbow, Light","Guidance*0|Sacred Flames*0|Light*0|Fog Cloud - DOMAIN*1|Thunderwave - DOMAIN*1|Bless*1|Healing Word*1|Cure Wounds*1|Shield Of Faith*1","Wis",NA,"peaceful_dirac",5407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tiefling","Criminal","Rogue 1","Rogue",NA,1,NA,10,"Acrobatics|Sleight of Hand|Stealth|Investigation|Perception|Deception","Shortsword|Shortbow|Dagger",NA,"Int","expertise/Thieves' Tools*Stealth|tiefling variants menu/Infernal Legacy","hopeful_matsumoto",5408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Human","Inquisitor","Paladin 1","Paladin",NA,1,NA,12,"Investigation|Religion|Intimidation|Persuasion","Morningstar|Javelin",NA,"Cha",NA,"stoic_euclid",5409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dragonborn","Soldier","Fighter 1","Fighter",NA,1,NA,13,"Athletics|Insight|Perception|Intimidation","Greatsword|Net|Handaxe|Handaxe",NA,"Int","fighting style/Great Weapon Fighting","wonderful_cray",5410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Human","Criminal","Monk 7","Monk","Way of the Open Hand",7,"Mobile|Durable",74,"Athletics|Acrobatics|Stealth|Deception","Shortsword|Dart|Unarmed strike",NA,"Int",NA,"keen_kowalevski",5411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dragonborn","Sage","Warlock 1","Warlock","The Undying",1,NA,6,"Arcana|History|Investigation|Nature","Crossbow, light|Dagger","Spare the Dying*0","Cha",NA,"quizzical_dhawan",5412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Human","Soldier","Fighter 2|Warlock 3","Fighter|Warlock","|The Hexblade",5,"Polearm Master",41,"Athletics|Acrobatics|Perception|Survival|Intimidation","Glaive","Eldritch Blast (A) 1d10*0|Mage Hand (A)*0|Shield (R) +5AC*1|Protection from Evil and Good*1|Misty Step (B)*2|Inivisibility*2","Cha","fighting style/Defense|pact boon/Pact of the Blade|eldritch invocations/Devil's Sight*Improved Pact Weapon","naughty_hypatia",5413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tabaxi","Criminal","Bard 3|Warlock 1","Bard|Warlock","College of Glamour|The Seeker",4,NA,32,"Acrobatics|Sleight of Hand|Stealth|Insight|Perception|Deception|Persuasion","Rapier|Dagger|Claws",NA,"Cha","expertise/Persuasion*Deception","serene_meitner",5414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bugbear","Mercenary Veteran","Barbarian 1","Barbarian",NA,1,NA,9,"Athletics|Stealth|Survival|Intimidation|Persuasion","Morningstar|Club|Javelin",NA,"Int",NA,"hungry_jepsen",5415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Half-Orc","Soldier","Fighter 4","Fighter","Champion",4,NA,45,"Athletics|Insight|Survival|Intimidation","Greataxe|Warhammer|Handaxe",NA,"Int","fighting style/Defense","elastic_thompson",5416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tabaxi","Acolyte","Monk 10","Monk","Way of the Open Hand",10,"Mobile",73,"Athletics|Acrobatics|Stealth|Religion|Insight|Perception","Shortsword|Dart|Unarmed strike",NA,"Int",NA,"kind_hodgkin",5417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"High Elf","Hermit","Monk 4","Monk","Way of Shadow",4,NA,38,"Acrobatics|Stealth|Religion|Medicine|Perception","Quarterstaff|Dart|Unarmed strike","Mage Hand*0|Minor Illusion *0","Int",NA,"elastic_bassi",5418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scourge Aasimar","Haunted One","Rogue 3","Rogue","Swashbuckler",3,NA,30,"Acrobatics|Stealth|Investigation|Insight|Perception|Survival","Shortsword|Shortbow|Dagger|Dagger",NA,"Int","expertise/Stealth*Acrobatics","laughing_cori",5419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stout Halfling","Outlander","Barbarian 2","Barbarian",NA,2,NA,26,"Athletics|Nature|Perception|Survival","Greatsword|Spear|Javelin|Shortsword",NA,"Int",NA,"naughty_dirac",5420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Half-Elf","Noble","Sorcerer 1","Sorcerer","Wild Magic",1,NA,9,"History|Animal Handling|Insight|Deception|Intimidation|Persuasion","Quarterstaff|Dagger",NA,"Cha",NA,"crazy_aryabhata",5421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Serpentblood","Noble","Paladin 10","Paladin","Oath of the Crown",10,NA,93,"Athletics|History|Intimidation|Persuasion","Warhammer|Javelin","Command*1|Compelled Duel*1|Warding Bond*2|Zone of Truth*2|Aura of Vitality*3|Spirit Guardians*3","Cha","fighting style/Great Weapon Fighting","heuristic_minsky",5422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lizardfolk","Barbarian Tribe Member","Barbarian 1|Fighter 1","Barbarian|Fighter","|",2,NA,24,"Athletics|Nature|Animal Handling|Survival|Intimidation","Battleaxe|Battleaxe",NA,"Int","fighting style/Two-Weapon Fighting","pedantic_joliot",5423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turtle","Acolyte","Cleric 2","Cleric","Grave Domain",2,NA,15,"Religion|Insight|Medicine|Survival|Persuasion","Mace|Crossbow, light","Spare the Dying*0|Toll The Dead*0|Mending*0|Bane*1|False Life*1|Inflict Wounds*1|Shield Of Faith*1|Create/Destroy Water*1","Wis",NA,"focused_proskuriakova",5424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Air Genasi","Haunted One","Rogue 1|Warlock 1","Rogue|Warlock","|The Undying",2,NA,19,"Acrobatics|Sleight of Hand|Stealth|Investigation|Survival|Deception",NA,"Spare the Dying*0|Mage Hand*0|Chill Touch*0|Unseen Servant*1|Sanctuary*1","Int","expertise/Stealth*Acrobatics","eloquent_germain",5425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Serpentblood","Guild Artisan","Warlock 2","Warlock","The Undying",2,NA,15,"Investigation|Insight|Intimidation|Persuasion","Crossbow, light|Dagger","Spare the Dying*0|Mage Hand*0|Shocking Grasp*0|Arms Of Hadar*1|Witch Bolt*1|Ray Of Sickness*1","Cha","eldritch invocations/Gaze of Two Minds*Armor of Shadows","affectionate_booth",5426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Triton","Hermit","Paladin 2","Paladin",NA,2,NA,20,"Athletics|Religion|Medicine|Persuasion","Javelin",NA,"Cha","fighting style/Protection","sharp_taussig",5427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kenku","Entertainer","Bard 1|Sorcerer 1","Bard|Sorcerer","|Shadow Magic",2,NA,14,"Acrobatics|Investigation|Insight|Perception|Deception|Performance","Rapier|Dagger","Minor Image*0|Vicious Mockery*0|Message*0|Light*0|Hideous Laughter*1|Dissonant Whispers*1|Color Spray*1|Silent Image*1","Cha",NA,"vibrant_maxwell",5428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bugbear","Urban Bounty Hunter","Monk 2","Monk",NA,2,NA,15,"Athletics|Acrobatics|Stealth|Insight|Deception","Shortsword|Dart|Unarmed strike",NA,"Int",NA,"trusting_clarke",5429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Human","Far Traveler","Fighter 3|Rogue 3","Fighter|Rogue","Battle Master|Swashbuckler",6,"Great Weapon Master",43,"Athletics|Stealth|Insight|Perception|Survival|Intimidation","Warhammer|Greatsword|Crossbow, light",NA,"Int","fighting style/Great Weapon Fighting|combat superiority maneuvers/Trip Attack*Precision Attack*Distracting Strike|expertise/Stealth*Athletics","magical_elbakyan",5430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Firbolg","Hermit","Monk 10","Monk","Way of the Open Hand",10,NA,88,"Acrobatics|Stealth|Religion|Medicine","Dart|Unarmed Strike|Quarterstaff",NA,"Int",NA,NA,5431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aarakocra","Mercenary Veteran","Warlock 4|Paladin 7","Warlock|Paladin","The Hexblade|Oath of Devotion",11,"Polearm Master|Sentinel",146,"Athletics|History|Investigation|Persuasion","Praetura, Halberd|Lance|Eldritch Blast|Green-Flame Blade","Eldritch Blast*0|Green-Flame Blade*0|Minor Illusion*0|Prestidigitation*0|Protection from Evil and Good*1|Sanctuary*1|Divine Favor*1|Shield Of Faith*1|Detect Evil And Good*1|Command*1|Lesser Restoration*2|Zone of Truth*2|Earthbind*2|Find Steed*2|Suggestion*2|Misty Step*2|Mirror Image*2","Cha","pact boon/Pact of the Blade|eldritch invocations/Agonizing Blast*Improved Pact Weapon|fighting style/Great Weapon Fighting","focused_cray",5432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Human","Guild Artisan","Artificer 3","Artificer","Gunsmith",3,"Keen Mind",29,"Arcana|History|Investigation|Insight|Perception|Persuasion","Handaxe|Crossbow, light|Thunder Cannon|Thunder Monger","Mending*0|Identify (Ritual)*1|Detect Magic (Ritual)*1|Alarm*1|Cure Wounds*1|Disguise Self*1","Int",NA,"zealous_snyder",5433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Variant","Courtier","Bard 9","Bard","College of Glamour",9,NA,81,"Stealth|Arcana|Insight|Performance|Persuasion","Rapier|Dagger",NA,"Cha","expertise/Persuasion*Performance","friendly_turing",5434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lightfoot Halfling","Criminal","Rogue 2","Rogue",NA,2,NA,15,"Acrobatics|Sleight of Hand|Stealth|Investigation|Deception|Performance","Shortsword|Shortbow",NA,"Int","expertise/Thieves' Tools*Stealth","silly_davinci",5435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Human","Noble","Fighter 8","Fighter","Purple Dragon Knight",8,NA,84,"Athletics|History|Insight|Intimidation|Persuasion","Longsword|Crossbow, light",NA,"Int","fighting style/Great Weapon Fighting","recursing_payne",5436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Human","Urchin","Rogue 1|Ranger 1","Rogue|Ranger","|",2,NA,18,"Sleight of Hand|Stealth|Investigation|Insight|Perception|Survival|Persuasion","Shortsword|Shortbow|Dagger",NA,"Int","expertise/Thieves' Tools*Stealth","angry_gould",5437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sea Elf","Sage","Wizard 6","Wizard","Lore Mastery",6,NA,44,"Arcana|History|Investigation|Insight|Perception","Quarterstaff|Dagger","Message*0|firebolt*0|shape water*0|Mending*0|absorb elements*1|detect magic*1|magic missile*1|colour spray*1|Disguise self*1|Mage armor*1|Shield*1|earthbind*2|invisibility*2|see invisibility*2|misty step*2|suggestion*2|Dispel Magic*3|Leomunds Tiny Hut*3|Fireball*3|Wall Of Water*3","Int",NA,"vibrant_rosalind",5438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tiefling","Noble","Warlock 1","Warlock","The Fiend",1,NA,9,"History|Investigation|Religion|Persuasion","Handaxe|Dagger",NA,"Cha",NA,"practical_bell",5439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tiefling","Acolyte","Warlock 1","Warlock","The Celestial",1,NA,9,"Religion|Insight|Deception|Intimidation","Handaxe|Dagger","Light*0|Sacred Flame*0","Cha",NA,"objective_ardinghelli",5440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wood Elf","Hermit","Druid 2","Druid","Circle of the Moon",2,NA,17,"Nature|Religion|Medicine|Perception|Survival","Quarterstaff|Scimitar","Produce Flame*0|Thorn Whip*0|Speak with animals*1|Healing Word*1|Earth Tremor*1","Wis",NA,NA,5441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Forest Gnome","Folk Hero","Sorcerer 2","Sorcerer","Wild Magic",2,NA,14,"Arcana|Animal Handling|Insight|Survival","Dagger|Crossbow, Light","Light*0|Prestidigitation *0|Ray Of frost *0|Shocking Grasp*0|Minor Illusion*0|Sheild*1|Magic Missle*1","Cha",NA,"blissful_easley",5442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kobold","Outlander","Ranger 3","Ranger","Beast Master",3,NA,28,"Athletics|Stealth|Nature|Animal Handling|Survival","Shortsword|Longbow","ANIMAL FRIENDSHIP*1|SPEAK WITH ANIMALS*1|HUNTERS MARK*1","Wis","fighting style/Two-Weapon Fighting","festive_northcutt",5443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kobold","Outlander","Ranger 3","Ranger","Beast Master",3,NA,28,"Athletics|Stealth|Nature|Animal Handling|Survival","Shortsword|Longbow",NA,"Wis","fighting style/Two-Weapon Fighting","festive_northcutt",5444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Half-Elf","Soldier","Druid 3","Druid","Circle of Dreams",3,NA,27,"Athletics|Nature|Animal Handling|Medicine|Survival|Intimidation",NA,"SHAPE WATER*0|MOLD EARTH*0|HEALING WORD*1|CREATE OR DESTROY WATER*1|CURE WOUNDS*1|ENHANCE ABILITY*2|LESSER RESTORATION*2|HEALING SPIRIT*2","Wis",NA,"elastic_brattain",5445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
